entry_id,journal,publication_year,source_article_ids,primary_section,secondary_sections,function,domain,unit_type,evidence_tier,expression,usage_constraint,source_locator,provenance_granularity,source_asset,source_line,catalog_version
"NAT-STK11-001","Nature","2024","39385035","Abstract","","multilevel evidence summary","immunotherapy;translational_research","vocabulary","exploratory_trial+mouse_intervention","dual checkpoint blockade 双检查点阻断; biomarker-defined subgroup 标志物定义亚组; innate immune effector 固有免疫效应细胞","STK11和/或KEAP1是并集；不能把TDCT对CT结果改为TDCT对DCT显著。","p1 Abstract","single-paper-synthesis","nature-2026-09-19-stk11-language.md","107","2026-09-19"
"NAT-STK11-002","Nature","2024","39385035","Abstract","","multilevel evidence summary","immunotherapy;translational_research","collocation","exploratory_trial+mouse_intervention","integrate exploratory trial findings with functional models; overcome resistance in [specified model]; associate with [outcome]","STK11和/或KEAP1是并集；不能把TDCT对CT结果改为TDCT对DCT显著。","p1 Abstract","single-paper-synthesis","nature-2026-09-19-stk11-language.md","108","2026-09-19"
"NAT-STK11-003","Nature","2024","39385035","Abstract","","multilevel evidence summary","immunotherapy;translational_research","sentence_frame","exploratory_trial+mouse_intervention","We combined [clinical analyses] with [experimental systems] to evaluate whether [intervention] addresses [genotype-associated phenotype].","STK11和/或KEAP1是并集；不能把TDCT对CT结果改为TDCT对DCT显著。","p1 Abstract","single-paper-synthesis","nature-2026-09-19-stk11-language.md","109","2026-09-19"
"NAT-STK11-004","Nature","2024","39385035","Abstract","","multilevel evidence summary","immunotherapy;translational_research","paragraph_architecture","exploratory_trial+mouse_intervention","Clinical problem → multilevel design → separate clinical/model findings → bounded translational conclusion.","STK11和/或KEAP1是并集；不能把TDCT对CT结果改为TDCT对DCT显著。","p1 Abstract","single-paper-synthesis","nature-2026-09-19-stk11-language.md","110","2026-09-19"
"NAT-STK11-005","Nature","2024","39385035","Introduction","","regimen-specific gap","immunotherapy;genomics","vocabulary","background_rationale","regimen-specific resistance 方案特异耐药; immune contexture 免疫构成; actionable hypothesis 可检验干预假设","背景信息不能宣称当前所有试验结论；历史TRITON提及需另核最新状态。","p1 Introduction","single-paper-synthesis","nature-2026-09-19-stk11-language.md","118","2026-09-19"
"NAT-STK11-006","Nature","2024","39385035","Introduction","","regimen-specific gap","immunotherapy;genomics","collocation","background_rationale","move beyond a uniformly resistant phenotype; distinguish single-gene and combined contexts; motivate combination testing","背景信息不能宣称当前所有试验结论；历史TRITON提及需另核最新状态。","p1 Introduction","single-paper-synthesis","nature-2026-09-19-stk11-language.md","119","2026-09-19"
"NAT-STK11-007","Nature","2024","39385035","Introduction","","regimen-specific gap","immunotherapy;genomics","sentence_frame","background_rationale","Whether [additional intervention] alters the adverse outcome pattern associated with [genomic context] remains an important question.","背景信息不能宣称当前所有试验结论；历史TRITON提及需另核最新状态。","p1 Introduction","single-paper-synthesis","nature-2026-09-19-stk11-language.md","120","2026-09-19"
"NAT-STK11-008","Nature","2024","39385035","Introduction","","regimen-specific gap","immunotherapy;genomics","paragraph_architecture","background_rationale","Known adverse association → regimen distinction → mechanistic uncertainty → clinical/model testing strategy.","背景信息不能宣称当前所有试验结论；历史TRITON提及需另核最新状态。","p1 Introduction","single-paper-synthesis","nature-2026-09-19-stk11-language.md","121","2026-09-19"
"NAT-STK11-009","Nature","2024","39385035","Methods","","trial subgroup and real-world analysis","clinical_genomics;statistics","vocabulary","exploratory_randomized_trial","mutation-evaluable subset 突变可评价亚集; unstratified Cox model 非分层Cox模型; multivariable adjustment 多变量调整; duration of response 缓解持续时间","可评价不等于ITT；回顾性调整HR与试验非分层HR分开；基线缺失不能归为WT。","pp11–13 Methods; Fig2; ED11","single-paper-synthesis","nature-2026-09-19-stk11-language.md","129","2026-09-19"
"NAT-STK11-010","Nature","2024","39385035","Methods","","trial subgroup and real-world analysis","clinical_genomics;statistics","collocation","exploratory_randomized_trial","define [either-gene union] separately from [double-mutant subset]; retain endpoint-specific cutoffs; analyze responders for [DoR]","可评价不等于ITT；回顾性调整HR与试验非分层HR分开；基线缺失不能归为WT。","pp11–13 Methods; Fig2; ED11","single-paper-synthesis","nature-2026-09-19-stk11-language.md","130","2026-09-19"
"NAT-STK11-011","Nature","2024","39385035","Methods","","trial subgroup and real-world analysis","clinical_genomics;statistics","sentence_frame","exploratory_randomized_trial","Biomarker analyses were restricted to [evaluable set], with [union/single/double] groups defined explicitly and regimen comparisons reported separately.","可评价不等于ITT；回顾性调整HR与试验非分层HR分开；基线缺失不能归为WT。","pp11–13 Methods; Fig2; ED11","single-paper-synthesis","nature-2026-09-19-stk11-language.md","131","2026-09-19"
"NAT-STK11-012","Nature","2024","39385035","Methods","","trial subgroup and real-world analysis","clinical_genomics;statistics","paragraph_architecture","exploratory_randomized_trial","Randomized population → biomarker-evaluable flow → operational variant criteria → endpoints/comparators → exploratory inference.","可评价不等于ITT；回顾性调整HR与试验非分层HR分开；基线缺失不能归为WT。","pp11–13 Methods; Fig2; ED11","single-paper-synthesis","nature-2026-09-19-stk11-language.md","132","2026-09-19"
"NAT-STK11-013","Nature","2024","39385035","Methods","","single-cell and inferred immune states","single_cell;bioinformatics;bulk_RNA","vocabulary","mouse_single_cell+human_bulk_inference","batch integration 批次整合; cell-type annotation 细胞类型注释; module score 模块评分; digital deconvolution 数字反卷积","两只小鼠/组不能以细胞数扩充生物学重复；mIF不是空间转录组；不同方法输出不等价。","pp15–17 Methods; ED6–7","single-paper-synthesis","nature-2026-09-19-stk11-language.md","140","2026-09-19"
"NAT-STK11-014","Nature","2024","39385035","Methods","","single-cell and inferred immune states","single_cell;bioinformatics;bulk_RNA","collocation","mouse_single_cell+human_bulk_inference","annotate clusters using [markers/reference]; integrate batches with [method]; infer immune composition from bulk profiles","两只小鼠/组不能以细胞数扩充生物学重复；mIF不是空间转录组；不同方法输出不等价。","pp15–17 Methods; ED6–7","single-paper-synthesis","nature-2026-09-19-stk11-language.md","141","2026-09-19"
"NAT-STK11-015","Nature","2024","39385035","Methods","","single-cell and inferred immune states","single_cell;bioinformatics;bulk_RNA","sentence_frame","mouse_single_cell+human_bulk_inference","[Mouse] single-cell profiles were analyzed using [workflow], whereas immune composition in [human cohort] was inferred from bulk expression data.","两只小鼠/组不能以细胞数扩充生物学重复；mIF不是空间转录组；不同方法输出不等价。","pp15–17 Methods; ED6–7","single-paper-synthesis","nature-2026-09-19-stk11-language.md","142","2026-09-19"
"NAT-STK11-016","Nature","2024","39385035","Methods","","single-cell and inferred immune states","single_cell;bioinformatics;bulk_RNA","paragraph_architecture","mouse_single_cell+human_bulk_inference","Biological sample and species → capture/QC → batch handling → annotation → abundance/signature testing → orthogonal validation.","两只小鼠/组不能以细胞数扩充生物学重复；mIF不是空间转录组；不同方法输出不等价。","pp15–17 Methods; ED6–7","single-paper-synthesis","nature-2026-09-19-stk11-language.md","143","2026-09-19"
