pmid,year,title,journal,doi,official_category,secondary_domain_tags,disease_scope,source_role,evidence_tier,pdf_version,pdf_filename,sha256,physical_pages,main_read_completed_on,reading_stage,supplement_status,review_status,source_asset,main_visual_physical_pages
40911432,2025,Seizure-Related Homolog Protein 6 (SEZ6): Biology and Therapeutic Target in Neuroendocrine Carcinomas,Clinical Cancer Research,10.1158/1078-0432.ccr-25-2090,Review,SEZ6;ADC;neuroendocrine-lineage;review-not-primary-evidence,SCLC;neuroendocrine-neoplasms,background-review-only,secondary-review,author_manuscript,Gezelius_Seizure-Related_Homolog_Protein_6_(SEZ6)_Biology_and_Therapeutic_Target_in_Neuroendocrine_Carc_PMID40911432.pdf,41167577d5ace8d816fe1918994c423b8da4ac2a1c8747497790a2f655d22be9,20,2026-09-23,background_review_read,not_supplied,not_reviewed,ccr-2025-sez6-review-background.md,15;16;17;19;20
37831007,2024,A Small Molecule with Big Impact: MRTX1133 Targets the KRASG12D Mutation in Pancreatic Cancer,Clinical Cancer Research,10.1158/1078-0432.ccr-23-2098,Review,KRAS;MRTX1133;targeted-therapy;review,pancreatic-cancer;KRAS-G12D,background-review-only,secondary-review,author_manuscript,Wei_A_Small_Molecule_with_Big_Impact_MRTX1133_Targets_the_KRASG12D_Mutation_in_Pancreatic_Cancer_PMID37831007.pdf,a20eceddf1cb0fcadabb1cd05ae4db0f9ab9710644d8802326ba60427a3c92f5,18,2026-09-23,background_review_read,not_supplied,not_reviewed,ccr-2024-37831007-background.md,15;16;17;18
37955563,2024,Facts and Hopes in Neoadjuvant Immunotherapy: Current Approvals and Emerging Evidence,Clinical Cancer Research,10.1158/1078-0432.ccr-23-0583,Review,neoadjuvant;immunotherapy;pathologic-response;review,multiple-solid-tumors;neoadjuvant-immunotherapy,background-review-only,secondary-review,author_manuscript,Vaidya_Facts_and_Hopes_in_Neoadjuvant_Immunotherapy_Current_Approvals_and_Emerging_Evidence_PMID37955563.pdf,56015282837e5b01c754ecb0be506a040f494b01d3a00ef312d1342e60709fff,17,2026-09-23,background_review_read,not_supplied,not_reviewed,ccr-2024-37955563-background.md,15;16;17
37903180,2024,Novel Approach to Accelerate Lung Cancer Research: Lung-MAP and the Potential of Public-Private Partnerships,Clinical Cancer Research,10.1158/1078-0432.ccr-23-2690,Special Report,master-protocol;Lung-MAP;trial-access;research-governance,lung-cancer-research-platform,background-synthesis-only,secondary-synthesis,publisher_typeset_pdf,Herbst_Novel_Approach_to_Accelerate_Lung_Cancer_Research_Lung-MAP_and_the_Potential_of_Public-Private_P_PMID37903180.pdf,96f03e622dbc73aef7a9b1b3e93c8a1e2ce0b60f7d215ff048a8f7f694d615a4,4,2026-09-23,background_review_read,not_supplied,not_reviewed,ccr-2024-37903180-background.md,3
39177967,2024,"Targeted Therapies, Novel Antibodies, and Immunotherapies in Advanced Non-Small Cell Lung Cancer: Clinical Evidence and Drug Approval Patterns",Clinical Cancer Research,10.1158/1078-0432.ccr-24-0741,Review,targeted-therapy;immunotherapy;drug-approval;review,advanced-NSCLC,background-review-only,secondary-review,publisher_typeset_pdf,"Koban_Targeted_Therapies,_Novel_Antibodies,_and_Immunotherapies_in_Advanced_Non-Small_Cell_Lung_Cancer_PMID39177967.pdf",fa6408f138198144b83f513410e7c7b53b0c896b3aa7afc141a4d9b45e6d11dc,12,2026-09-23,background_review_read,not_supplied,not_reviewed,ccr-2024-39177967-background.md,2;4;5;6;8;9
35616593,2023,Breakthrough Therapy Designation Criteria Identify Drugs that Improve Clinical Outcomes for Patients: A Case for More Streamlined Coverage of Promising Therapies,Clinical Cancer Research,10.1158/1078-0432.ccr-22-0983,Perspectives,FDA;NCCN;breakthrough-designation;policy-perspective,NSCLC approval-level secondary analysis,background-policy-perspective-only,policy-perspective,publisher_typeset_pdf,Collins_Breakthrough_Therapy_Designation_Criteria_Identify_Drugs_that_Improve_Clinical_Outcomes_for_Pat_PMID35616593.pdf,d7f0d2554cee6001ab8696b27e3d6417c6ebb65bfee88f8ff073c61aa2981680,4,2026-09-26,background_review_read,not_supplied,not_reviewed,ccr-2023-35616593-background.md,1;2;3
37581538,2023,Facts and Hopes on RAS Inhibitors and Cancer Immunotherapy,Clinical Cancer Research,10.1158/1078-0432.ccr-22-3655,Review,RAS;immunotherapy;review,mixed RAS-mutant cancers,background-review-only,secondary-review,publisher_typeset_pdf,Boumelha_Facts_and_Hopes_on_RAS_Inhibitors_and_Cancer_Immunotherapy_PMID37581538.pdf,86411e4834cdcccb8094e66bef6df8788458123378ace1f41e9c0bbf48ea6dd0,9,2026-09-26,background_review_read,not_supplied,not_reviewed,ccr-2023-37581538-background.md,2;4;5
34285059,2022,The Liver-Immunity Nexus and Cancer Immunotherapy,Clinical Cancer Research,10.1158/1078-0432.ccr-21-1193,Review,immunotherapy;liver-metastases;tumor-immunology;secondary-omics-background,cross-tumor liver metastases including melanoma and NSCLC,background narrative review of hepatic immunity and immunotherapy,secondary-narrative-review,publisher_typeset_pdf,Lee_The_Liver-Immunity_Nexus_and_Cancer_Immunotherapy_PMID34285059.pdf,5f184b9f6478a3e1960192214f21d64aece25f64c05f1805e1c90009f6f27d17,8,2026-09-26,background_review_read,not_supplied,not_reviewed,ccr-2022-34285059-background.md,3;4;5;6
35091446,2022,Expanding Therapeutic Opportunities for Extrapulmonary Neuroendocrine Carcinoma,Clinical Cancer Research,10.1158/1078-0432.ccr-21-3058,Review,genomics;epigenetics;lineage-plasticity;immunotherapy;targeted-therapy;secondary-omics-background,extrapulmonary poorly differentiated neuroendocrine carcinoma with SCLC analogies,background narrative review of lineage plasticity and therapeutic opportunities,secondary-narrative-review,author_manuscript,Frizziero_Expanding_Therapeutic_Opportunities_for_Extrapulmonary_Neuroendocrine_Carcinoma_PMID35091446.pdf,fb80d1450a4c1a5361500ad00c9f45df9022dc4a98534474d0aac3381d6b8062,42,2026-09-26,background_review_read,not_supplied,not_reviewed,ccr-2022-35091446-background.md,23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42
35486097,2022,Molecular Pathways and Mechanisms of BRAF in Cancer Therapy,Clinical Cancer Research,10.1158/1078-0432.ccr-21-2138,Review,signaling;targeted-therapy;immunotherapy;resistance;drug-scheduling,BRAF-altered mixed cancers including NSCLC,background narrative review of RAF pharmacology and clinical development,secondary-narrative-review,author_manuscript,Poulikakos_Molecular_Pathways_and_Mechanisms_of_BRAF_in_Cancer_Therapy_PMID35486097.pdf,fa7176cd71b2eb66f84373cc2ab555a4ae1ff241d93febccd94e6570e4175485,24,2026-09-26,background_review_read,not_supplied,not_reviewed,ccr-2022-35486097-background.md,20;21;22;23;24
