pmid,year,title,journal,doi,official_category,secondary_domain_tags,disease_scope,source_role,evidence_tier,pdf_version,pdf_filename,sha256,physical_pages,main_read_completed_on,reading_stage,supplement_status,review_status,source_asset,main_visual_physical_pages
36201167,2023,A Large-Scale Prospective Concordance Study of Plasma- and Tissue-Based Next-Generation Targeted Sequencing for Advanced Non–Small Cell Lung Cancer (LC-SCRUM-Liquid),Clinical Cancer Research,10.1158/1078-0432.CCR-22-1749,Precision Medicine and Imaging,plasma-cfDNA;tissue-NGS;concordance;PPA;driver-detection;turnaround-time;matched-therapy,advanced/recurrent NSCLC,lung-precision-diagnostics-clinical,prospective-clinical,publisher_typeset_pdf,A Large-Scale Prospective Concordance Study of Plasma- and Tissue-Based Next-Generation Targeted Sequencing for Advanced Non–Small Cell Lung Cancer (LC-SCRUM-Liquid).pdf,6c9cc4591fd3d6a79c3ec6f055050a0748484bf5e0029c4e4f891891888f7d25,9,2026-09-26,main_text_deep_read_complete,not_supplied,not_reviewed,ccr-2023-36201167-language.md,3;4;5;6;7
36692420,2023,Allogeneic CAR T Cells Targeting DLL3 Are Efficacious and Safe in Preclinical Models of Small Cell Lung Cancer,Clinical Cancer Research,10.1158/1078-0432.CCR-22-2293,Translational Cancer Mechanisms and Therapy,DLL3;allogeneic-CAR-T;antigen-density;serial-killing;xenograft;safety-switch;pituitary,SCLC;neuroendocrine-tumor models,lung-preclinical-cellular-therapy,preclinical,publisher_typeset_pdf,Allogeneic CAR T Cells Targeting DLL3 Are Efficacious and Safe in Preclinical Models of Small Cell Lung Cancer.pdf,e3625c971626e684c249eba7595ec9843d45d1a3179f3a6eea09a7e241af3a92,15,2026-09-26,main_text_deep_read_complete,not_supplied,not_reviewed,ccr-2023-36692420-language.md,3;4;7;8;9;11;12
41563386,2026,"Camonsertib, an ATRi, in Combination with Low-Dose Gemcitabine in Solid Tumors with DNA Damage Response Aberrations: Preclinical and Phase Ib Results",Clinical Cancer Research,10.1158/1078-0432.CCR-25-2240,Clinical Trials: Molecularly Targeted Therapy,ATR;camonsertib;gemcitabine;DDR;ATM;BRCA;ctDNA;dose-optimization;safety,advanced solid tumors;NSCLC subgroup n=3;no lung-specific efficacy analysis,cross-tumor-clinical-methods,mixed-clinical-preclinical,publisher_typeset_pdf,ccr-25-2240.pdf,14c637b3c4955099d238af9ed4f300ff869c04c827cdf4c2912c7cd94e0eb75e,13,2026-09-26,main_text_deep_read_complete,not_supplied,not_reviewed,ccr-2026-41563386-language.md,3;4;5;6;7;8;9;10
41511400,2026,TAPISTRY: A Phase II Study of Atezolizumab in Patients with Tumor Mutational Burden–High Tumors,Clinical Cancer Research,10.1158/1078-0432.CCR-25-3336,Clinical Trials: Immunotherapy,TMB;atezolizumab;basket-trial;assay-harmonization;PD-L1;ORR;PFS;safety,TMB-high solid tumors;NSCLC n=6;SCLC n=2;no lung-specific efficacy analysis,cross-tumor-clinical-methods,single-arm-clinical,publisher_typeset_pdf,ccr-25-3336.pdf,632732e99f0cd6c0a759dd0b343a2788c0ede6bfb8e759404cca09668bf2d2fe,9,2026-09-26,main_text_deep_read_complete,not_supplied,not_reviewed,ccr-2026-41511400-language.md,2;3;4;5;6;7
35838647,2022,"Clinical, Pathologic, and Molecular Prognostic Factors in Patients with Early-Stage EGFR-Mutant NSCLC",Clinical Cancer Research,10.1158/1078-0432.CCR-22-0879,Translational Cancer Mechanisms and Therapy,EGFR;resection;RFS;WES;WTS;RNA-subtype;TP53;APOBEC;prognostic-model,resected early-stage EGFR-mutant NSCLC,lung-clinical-genomic-transcriptomic-prognostic,observational-associative,publisher_typeset_pdf,"Clinical, Pathologic, and Molecular Prognostic Factors in Patients with Early-Stage EGFR-Mutant NSCLC.pdf",73709c0b3105bc4fd6b5f561fed5327991ee7531c04f8a3bc632ac4f84832e90,10,2026-09-26,main_text_deep_read_complete,not_supplied,not_reviewed,ccr-2022-35838647-language.md,3;4;5;6;7
33558425,2021,Treatment Outcomes and Clinical Characteristics of Patients with KRAS-G12C Mutant Non-Small Cell Lung Cancer,Clinical Cancer Research,10.1158/1078-0432.CCR-20-4023,Precision Medicine and Imaging,KRAS-G12C;STK11;KEAP1;TP53;PD-L1;TMB;immunotherapy;platinum;PFS;TTD,advanced KRAS-mutant NSCLC,lung-clinical-genomic-treatment-outcomes,observational-associative,author_manuscript,nihms-1673270.pdf,7c35c8a85534cdd19f785218b741c62d580173553c7f3235d63422a28e90f375,14,2026-09-26,main_text_deep_read_complete,not_supplied,not_reviewed,ccr-2021-33558425-language.md,3;11;12;13;14
33593884,2021,KRASG12C Mutation Is Associated with Increased Risk of Recurrence in Surgically Resected Lung Adenocarcinoma,Clinical Cancer Research,10.1158/1078-0432.CCR-20-4772,Translational Cancer Mechanisms and Therapy,KRAS-G12C;resection;DFS;recurrence;STK11;KEAP1;clonality;APOBEC;external-cohort,surgically resected lung adenocarcinoma,lung-clinical-genomic-prognostic,observational-associative,author_manuscript,nihms-1675837.pdf,bfd0557a88aeabfe1ed839fb046ae2e23c3e0c29c6b842c4f54a8de50cdaf00d,21,2026-09-26,main_text_deep_read_complete,not_supplied,not_reviewed,ccr-2021-33593884-language.md,5;6;15;16;17;18;19;21
33622705,2021,"Implication of Cancer-Associated Fibroblast Subtypes on Cancer Pathogenesis, Prognosis, and Immunotherapy Resistance",Clinical Cancer Research,10.1158/1078-0432.CCR-20-4226,Translational Cancer Mechanisms and Therapy,CAF;scRNA-seq;bulk-RNA;CIBERSORTx;SCENIC;GSEA;immunotherapy-resistance;pan-cancer,melanoma;HNSCC;lung cancer;cross-tumor,cross-tumor-transcriptomic-bioinformatics,computational-associative,author_manuscript,nihms-1678398.pdf,af53678ec7c2cc6a07dd77b1bee1dd79c2241164c5e9f89d292593d15b5311ea,24,2026-09-26,main_text_deep_read_complete,not_supplied,not_reviewed,ccr-2021-33622705-language.md,18;19;20;21;22;23
33685865,2021,Response to Standard Therapies and Comprehensive Genomic Analysis for Patients with Lung Adenocarcinoma with EGFR Exon 20 Insertions,Clinical Cancer Research,10.1158/1078-0432.CCR-20-4650,Translational Cancer Mechanisms and Therapy,EGFR-exon20;genomics;TMB;PD-L1;immunotherapy;platinum;TTD;historical-cohort,EGFR exon 20 insertion lung adenocarcinoma,lung-clinical-genomic-treatment-outcomes,observational-associative,author_manuscript,nihms-1683009.pdf,cb87b92fc9e56e0776a82be567ebbbdb34e61740e257428be8cff31e280284dc,17,2026-09-26,main_text_deep_read_complete,not_supplied,not_reviewed,ccr-2021-33685865-language.md,13;14;15;16;17
33685866,2021,Spectrum of Mechanisms of Resistance to Crizotinib and Lorlatinib in ROS1 Fusion-Positive Lung Cancer,Clinical Cancer Research,10.1158/1078-0432.CCR-21-0032,Translational Cancer Mechanisms and Therapy,ROS1;crizotinib;lorlatinib;resistance;G2032R;L2086F;plasma;tissue;BaF3;cabozantinib,ROS1 fusion-positive NSCLC,lung-clinical-preclinical-resistance,mixed-clinical-preclinical,author_manuscript,nihms-1683011.pdf,c9d68fb6aa2eeec54857f9b55a8e7538a7c992b48c939627c042d97d3abbd475,24,2026-09-26,main_text_deep_read_complete,not_supplied,not_reviewed,ccr-2021-33685866-language.md,5;8;18;20;21;22;24
