year,journal,title,pmid,doi,publication_status,supplied_pdf_version,eligibility,disease_scope,source_role,official_category,official_category_status,primary_content_class,secondary_content_tags,tag_basis,reading_stage,main_read_completed_on,review_status,supplement_status,stk11_highlight,bibliography,reading_ledger,reading_evidence,source_disease_ids,source_tissue_ids,source_model_ids,source_use_roles,scope_curation_status,scope_reference,scope_reference_line,scope_boundary,scope_facet_status
2015,Cancer Discovery,"Co-occurring genomic alterations define major subsets of KRAS-mutant lung adenocarcinoma with distinct biology, immune profiles, and therapeutic vulnerabilities",26069186,10.1158/2159-8290.CD-14-1236,author manuscript; issue year 2015; PMC availability year is not publication year,author_manuscript,included,,,,not_recorded_for_this_journal,co-mutation-associated molecular subtyping,genomics; copy number; bulk transcriptomics; microRNA; targeted RPPA; immune phenotype; recurrence; HSP90 drug response; rescue/knockdown,bibliography content classification,main_text_deep_read_complete,2026-09-19,in_progress,not_supplied,yes,cancer-discovery-stk11-priority-bibliography.csv,cancer-discovery-stk11-deep-reading-ledger.md,cancer-discovery-stk11-deep-reading-ledger.md;cancer-discovery-2026-09-19-stk11-language.md,lung-adenocarcinoma,tumor,human-clinical;human-cell-line;computational,lung-primary;clinical-correlative;preclinical-mechanism,curated-source-scope,cancer-discovery-2026-09-19-stk11-language.md,6,"Article-level source context only; listed facets are supported but not exhaustive. Data reanalysis is not new specimen collection. Do not join different cohorts, tissues or models into one experiment. Empty tissue labels mean not curated, not no specimen use.","{""disease_ids"": ""identified-not-exhaustive"", ""model_ids"": ""identified-not-exhaustive"", ""tissue_ids"": ""identified-not-exhaustive"", ""use_roles"": ""identified-not-exhaustive""}"
2018,Cancer Discovery,STK11/LKB1 Mutations and PD-1 Inhibitor Resistance in KRAS-Mutant Lung Adenocarcinoma,29773717,10.1158/2159-8290.CD-18-0099,author manuscript; issue year 2018; PMC availability year is not publication year,author_manuscript,included,,,,not_recorded_for_this_journal,immunotherapy outcome and resistance mechanism,co-mutations; clinical genomics; TMB; PD-L1; LKB1 IHC; PFS/OS; flow cytometry; isogenic knockout; mouse anti-PD-1/PD-L1,bibliography content classification,main_text_deep_read_complete,2026-09-19,in_progress,not_supplied,yes,cancer-discovery-stk11-priority-bibliography.csv,cancer-discovery-stk11-deep-reading-ledger.md,cancer-discovery-stk11-deep-reading-ledger.md;cancer-discovery-2026-09-19-stk11-language.md,lung-adenocarcinoma;nsclc,tumor,human-clinical;mouse,lung-primary;clinical-correlative;preclinical-mechanism,curated-source-scope,cancer-discovery-2026-09-19-stk11-language.md,69,"Article-level source context only; listed facets are supported but not exhaustive. Data reanalysis is not new specimen collection. Do not join different cohorts, tissues or models into one experiment. Empty tissue labels mean not curated, not no specimen use.","{""disease_ids"": ""identified-not-exhaustive"", ""model_ids"": ""identified-not-exhaustive"", ""tissue_ids"": ""identified-not-exhaustive"", ""use_roles"": ""identified-not-exhaustive""}"
2020,Clinical Cancer Research,The Genomic Landscape of SMARCA4 Alterations and Associations with Outcomes in Patients with Lung Cancer,32709715,10.1158/1078-0432.ccr-20-1825,see source bibliography and intake manifest,author_manuscript,included,,,Translational Cancer Mechanisms and Therapy,official_section,translational / mixed,smarca4-stk11-keap1-genomics-ihc-survival-immunotherapy-statistics,single-paper curated language domains,main_text_deep_read_complete,2026-09-14,in_progress,not_supplied,yes,ccr-corpus-bibliography.csv,ccr-deep-reading-ledger.md,ccr-deep-reading-ledger.md;ccr-2026-09-14-atm-smarca4-stk11-priority-language.md,nsclc,tumor,human-clinical,lung-primary;clinical-correlative,curated-source-scope,ccr-2026-09-14-atm-smarca4-stk11-priority-language.md,10,"Article-level source context only; listed facets are supported but not exhaustive. Data reanalysis is not new specimen collection. Do not join different cohorts, tissues or models into one experiment. Empty tissue labels mean not curated, not no specimen use.","{""disease_ids"": ""identified-not-exhaustive"", ""model_ids"": ""identified-not-exhaustive"", ""tissue_ids"": ""identified-not-exhaustive"", ""use_roles"": ""identified-not-exhaustive""}"
2021,Clinical Cancer Research,"A Phase I Study of APX005M and Cabiralizumab with or without Nivolumab in Patients with Melanoma, Kidney Cancer, or Non-Small Cell Lung Cancer Resistant to Anti-PD-1/PD-L1",34140403,10.1158/1078-0432.ccr-21-0903,see source bibliography and intake manifest,author_manuscript,included,"melanoma;renal-cell carcinoma;NSCLC (one patient, no viable correlative tumor tissue)",mixed-tumor phase-I safety/pharmacodynamic reference; minimal lung clinical representation,Clinical Trials: Immunotherapy,official_section,mixed-tumor phase-I safety/pharmacodynamic reference; minimal lung clinical representation,immunotherapy;clinical-trial;macrophage;targeted-protein-assay;statistics,bibliography content classification,main_text_deep_read_complete,2026-09-26,not_reviewed,not_supplied,no,ccr-corpus-bibliography.csv,ccr-deep-reading-ledger.md,ccr-deep-reading-ledger.md;ccr-2021-34140403-language.md;ccr-2021-34140403-evidence.md,melanoma;renal-cell-carcinoma;nsclc,tumor;plasma,human-clinical,clinical-trial,curated-source-scope,ccr-2021-34140403-evidence.md,7,Only one NSCLC patient; tumor correlative tissue from melanoma/RCC. Pharmacodynamic inflammation is not proven clinical benefit. Flag inconsistent edema/cohort/discontinuation counts and exploratory multiplicity.,"{""disease_ids"": ""identified-not-exhaustive"", ""model_ids"": ""identified-not-exhaustive"", ""tissue_ids"": ""identified-not-exhaustive"", ""use_roles"": ""identified-not-exhaustive""}"
2021,Clinical Cancer Research,Comprehensive Molecular and Clinicopathologic Analysis of 200 Pulmonary Invasive Mucinous Adenocarcinomas Identifies Distinct Characteristics of Molecular Subtypes,33947695,10.1158/1078-0432.CCR-21-0423,see source bibliography and intake manifest,author_manuscript,included,pulmonary invasive mucinous adenocarcinoma,lung-clinical-genomic-pathology,Translational Cancer Mechanisms and Therapy,official_section,retrospective molecular and clinicopathologic cohort,invasive-mucinous-adenocarcinoma;KRAS;NRG1;ERBB2;fusion;DNA-RNA;WES;WTS;pathology,bibliography content classification,main_text_deep_read_complete,2026-09-26,not_reviewed,not_supplied,no,ccr-corpus-bibliography.csv,ccr-deep-reading-ledger.md,ccr-deep-reading-ledger.md;ccr-2021-33947695-language.md,lung-adenocarcinoma,tumor,human-clinical,lung-primary;clinical-correlative,curated-source-scope,ccr-2021-33947695-language.md,4,"Article-level source context only; listed facets are supported but not exhaustive. Data reanalysis is not new specimen collection. Do not join different cohorts, tissues or models into one experiment. Empty tissue labels mean not curated, not no specimen use.","{""disease_ids"": ""identified-not-exhaustive"", ""model_ids"": ""identified-not-exhaustive"", ""tissue_ids"": ""identified-not-exhaustive"", ""use_roles"": ""identified-not-exhaustive""}"
2021,Clinical Cancer Research,Cross-Site Concordance Evaluation of Tumor DNA and RNA Sequencing Platforms for the CIMAC-CIDC Network,33323402,10.1158/1078-0432.ccr-20-3251,see source bibliography and intake manifest,author_manuscript,included,squamous NSCLC;HapMap benchmark cell pools,lung-source analytical harmonization/methodology,Precision Medicine and Imaging,official_section,lung-source analytical harmonization/methodology,genomics;bulk-transcriptomics;bioinformatics;assay-concordance;statistics,bibliography content classification,main_text_deep_read_complete,2026-09-26,not_reviewed,not_supplied,no,ccr-corpus-bibliography.csv,ccr-deep-reading-ledger.md,ccr-deep-reading-ledger.md;ccr-2021-33323402-language.md;ccr-2021-33323402-evidence.md,nsclc,tumor;blood,human-clinical;human-cell-line,lung-primary,curated-source-scope,ccr-2021-33323402-evidence.md,7,"Eight patients, not150 independent patients. medTIN30 does not meet the prespecified.94 correlation threshold; concordance is not accuracy or efficacy.","{""disease_ids"": ""identified-not-exhaustive"", ""model_ids"": ""identified-not-exhaustive"", ""tissue_ids"": ""identified-not-exhaustive"", ""use_roles"": ""identified-not-exhaustive""}"
2021,Clinical Cancer Research,Immunotherapy-Mediated Thyroid Dysfunction: Genetic Risk and Impact on Outcomes with PD-1 Blockade in Non-Small Cell Lung Cancer,34244291,10.1158/1078-0432.ccr-21-0921,see source bibliography and intake manifest,author_manuscript,included,NSCLC;noncancer germline discovery and validation populations,lung clinical-genomic association and toxicity-risk validation,Translational Cancer Mechanisms and Therapy,official_section,lung clinical-genomic association and toxicity-risk validation,germline-genomics;bioinformatics;statistics;immunotherapy;safety,bibliography content classification,main_text_deep_read_complete,2026-09-26,not_reviewed,not_supplied,no,ccr-corpus-bibliography.csv,ccr-deep-reading-ledger.md,ccr-deep-reading-ledger.md;ccr-2021-34244291-language.md;ccr-2021-34244291-evidence.md,nsclc,tumor;blood,human-clinical,lung-primary,curated-source-scope,ccr-2021-34244291-evidence.md,7,Thyroid-irAE association is not causal efficacy prediction; PRS did not associate with PFS/OS. Time-dependent estimates differ from standard Cox estimates; Table2 numeric rows are PFS only.,"{""disease_ids"": ""identified-not-exhaustive"", ""model_ids"": ""identified-not-exhaustive"", ""tissue_ids"": ""identified-not-exhaustive"", ""use_roles"": ""identified-not-exhaustive""}"
2021,Clinical Cancer Research,"Implication of Cancer-Associated Fibroblast Subtypes on Cancer Pathogenesis, Prognosis, and Immunotherapy Resistance",33622705,10.1158/1078-0432.CCR-20-4226,see source bibliography and intake manifest,author_manuscript,included,melanoma;HNSCC;lung cancer;cross-tumor,cross-tumor-transcriptomic-bioinformatics,Translational Cancer Mechanisms and Therapy,official_section,pan-cancer single-cell and bulk-transcriptomic bioinformatics study,CAF;scRNA-seq;bulk-RNA;CIBERSORTx;SCENIC;GSEA;immunotherapy-resistance;pan-cancer,bibliography content classification,main_text_deep_read_complete,2026-09-26,not_reviewed,not_supplied,no,ccr-corpus-bibliography.csv,ccr-deep-reading-ledger.md,ccr-deep-reading-ledger.md;ccr-2021-33622705-language.md,melanoma;hnscc;lung-cancer,tumor,computational,cross-tumor-methods;computational-methods,curated-source-scope,ccr-2021-33622705-language.md,4,"Article-level source context only; listed facets are supported but not exhaustive. Data reanalysis is not new specimen collection. Do not join different cohorts, tissues or models into one experiment. Empty tissue labels mean not curated, not no specimen use.","{""disease_ids"": ""identified-not-exhaustive"", ""model_ids"": ""identified-not-exhaustive"", ""tissue_ids"": ""identified-not-exhaustive"", ""use_roles"": ""identified-not-exhaustive""}"
2021,Clinical Cancer Research,Integrative Profiling of T790M-Negative EGFR-Mutated NSCLC Reveals Pervasive Lineage Transition and Therapeutic Opportunities,34261696,10.1158/1078-0432.ccr-20-4607,see source bibliography and intake manifest,publisher_typeset_pdf,included,EGFR-mutated metastatic NSCLC resistant to first/second-generation EGFR TKIs,lung-primary observational multi-omics resistance study,Translational Cancer Mechanisms and Therapy,official_section,lung-primary observational multi-omics resistance study,genomics;bulk-transcriptomics;bioinformatics;targeted-protein-assay;lineage-plasticity;statistics,bibliography content classification,main_text_deep_read_complete,2026-09-26,not_reviewed,not_supplied,no,ccr-corpus-bibliography.csv,ccr-deep-reading-ledger.md,ccr-deep-reading-ledger.md;ccr-2021-34261696-language.md;ccr-2021-34261696-evidence.md,nsclc,tumor;blood,human-clinical,lung-primary,curated-source-scope,ccr-2021-34261696-evidence.md,7,Unpaired treatment-naive comparator; bulk RNA inference is not single-cell measurement. Bayesian forecasts are unvalidated; immunehot is not ICI sensitivity. Preserve count and Figure2C caption caveats.,"{""disease_ids"": ""identified-not-exhaustive"", ""model_ids"": ""identified-not-exhaustive"", ""tissue_ids"": ""identified-not-exhaustive"", ""use_roles"": ""identified-not-exhaustive""}"
2021,Clinical Cancer Research,KRASG12C Mutation Is Associated with Increased Risk of Recurrence in Surgically Resected Lung Adenocarcinoma,33593884,10.1158/1078-0432.CCR-20-4772,see source bibliography and intake manifest,author_manuscript,included,surgically resected lung adenocarcinoma,lung-clinical-genomic-prognostic,Translational Cancer Mechanisms and Therapy,official_section,retrospective resection cohort with external genomic validation,KRAS-G12C;resection;DFS;recurrence;STK11;KEAP1;clonality;APOBEC;external-cohort,bibliography content classification,main_text_deep_read_complete,2026-09-26,not_reviewed,not_supplied,no,ccr-corpus-bibliography.csv,ccr-deep-reading-ledger.md,ccr-deep-reading-ledger.md;ccr-2021-33593884-language.md,lung-adenocarcinoma,tumor,human-clinical,lung-primary;clinical-correlative,curated-source-scope,ccr-2021-33593884-language.md,4,"Article-level source context only; listed facets are supported but not exhaustive. Data reanalysis is not new specimen collection. Do not join different cohorts, tissues or models into one experiment. Empty tissue labels mean not curated, not no specimen use.","{""disease_ids"": ""identified-not-exhaustive"", ""model_ids"": ""identified-not-exhaustive"", ""tissue_ids"": ""identified-not-exhaustive"", ""use_roles"": ""identified-not-exhaustive""}"
2021,Clinical Cancer Research,NRF2 Activation Promotes Aggressive Lung Cancer and Associates with Poor Clinical Outcomes,33077574,10.1158/1078-0432.ccr-20-1985,see source bibliography and intake manifest,not_classified_by_header,included,,,Translational Cancer Mechanisms and Therapy,official_section,translational / mixed,genomics-transcriptomics-preclinical-immunotherapy,single-paper curated language domains,main_text_deep_read_complete,2026-09-12,not_reviewed,not_supplied,no,ccr-corpus-bibliography.csv,ccr-deep-reading-ledger.md,ccr-deep-reading-ledger.md;ccr-2026-09-12-supplement-language.md,nsclc;lung-adenocarcinoma;lung-squamous,tumor,human-clinical;human-cell-line;gemm;computational,lung-primary;preclinical-mechanism;clinical-correlative,curated-source-scope,ccr-2026-09-12-supplement-language.md,10,"Article-level source context only; listed facets are supported but not exhaustive. Data reanalysis is not new specimen collection. Do not join different cohorts, tissues or models into one experiment. Empty tissue labels mean not curated, not no specimen use.","{""disease_ids"": ""identified-not-exhaustive"", ""model_ids"": ""identified-not-exhaustive"", ""tissue_ids"": ""identified-not-exhaustive"", ""use_roles"": ""identified-not-exhaustive""}"
