stable_id,expression,source_article_ids,source_asset,source_line,state
cancer-discovery-lang-0141d77145353f674a36,jointly characterize [genomic and expression features]; resolve heterogeneity within [driver-defined disease],26069186,cancer-discovery-2026-09-19-stk11-language.md,141,no-literal-match-needs-context-review
cancer-discovery-lang-08356536ed650553754b,biologically distinct subset 生物学不同亚群; subtype-informed hypothesis 亚型导向假设; therapeutic vulnerability 治疗脆弱性,26069186,cancer-discovery-2026-09-19-stk11-language.md,217,no-literal-match-needs-context-review
cancer-discovery-lang-11b3618a9a2252cb5730,prognostic association 预后关联; treatment-effect modification 治疗效应修饰; limited subgroup power 亚组效能有限,29773717,cancer-discovery-2026-09-19-stk11-language.md,294,no-literal-match-needs-context-review
cancer-discovery-lang-1694e527ca0a428ae859,isogenic rescue 同源背景回补; knockdown 敲低; concentration–response curve 浓度反应曲线; half-maximal inhibitory concentration 半数抑制浓度,26069186,cancer-discovery-2026-09-19-stk11-language.md,173,no-literal-match-needs-context-review
cancer-discovery-lang-18467ef102d89ef97a56,select the number of clusters using [criterion]; apply a fixed classifier to [independent cohort]; harmonize expression within [platform],26069186,cancer-discovery-2026-09-19-stk11-language.md,163,no-literal-match-needs-context-review
cancer-discovery-lang-37a24b7fbb932ec7171b,endpoint-specific censoring 终点特异删失; Cox proportional hazards model Cox比例风险模型; interaction test 交互作用检验; multiplicity correction 多重性校正,29773717,cancer-discovery-2026-09-19-stk11-language.md,261,no-literal-match-needs-context-review
cancer-discovery-lang-3a9c1ca6ece7d2721899,resistance-associated phenotype 耐药相关表型; context-specific biomarker 背景特异标志物; validation cohort 验证队列,29773717,cancer-discovery-2026-09-19-stk11-language.md,305,no-literal-match-needs-context-review
cancer-discovery-lang-3b2f4e86e5288849eb53,account for variation within [driver-defined group]; complement existing biomarkers; motivate functional testing,29773717,cancer-discovery-2026-09-19-stk11-language.md,240,no-literal-match-needs-context-review
cancer-discovery-lang-462efdc34fbc4f0d96f1,response heterogeneity 反应异质性; co-mutational context 共突变背景; immune escape 免疫逃逸,29773717,cancer-discovery-2026-09-19-stk11-language.md,239,no-literal-match-needs-context-review
cancer-discovery-lang-54974c63e5e9e7669e02,associate with diminished response to [regimen]; evaluate across [clinical cohorts]; test in isogenic models,29773717,cancer-discovery-2026-09-19-stk11-language.md,229,no-literal-match-needs-context-review
cancer-discovery-lang-59262b6cd26f2088fa28,objective response rate 客观缓解率; disease control rate 疾病控制率; functional loss 功能缺失; confidence interval 置信区间,29773717,cancer-discovery-2026-09-19-stk11-language.md,272,no-literal-match-needs-context-review
cancer-discovery-lang-6229f60021f79c76a18c,identify a candidate contributor to [resistance]; support further evaluation in [defined setting],29773717,cancer-discovery-2026-09-19-stk11-language.md,306,no-literal-match-needs-context-review
cancer-discovery-lang-63b8ab0c4c7dd3d8eafd,isogenic knockout 同源背景敲除; syngeneic tumor model 同系肿瘤模型; intratumoral CD8 cells 肿瘤内CD8细胞,29773717,cancer-discovery-2026-09-19-stk11-language.md,283,no-literal-match-needs-context-review
cancer-discovery-lang-73b63fcbbc01fdb9150c,does not distinguish prognosis from prediction; supports a mechanistic contribution in [model]; requires a treatment interaction,29773717,cancer-discovery-2026-09-19-stk11-language.md,295,no-literal-match-needs-context-review
cancer-discovery-lang-7637712a1c4040802c29,genotype–phenotype relationship 基因型表型关系; regional co-deletion 区域共缺失; translational hypothesis 转化假设,26069186,cancer-discovery-2026-09-19-stk11-language.md,206,no-literal-match-needs-context-review
cancer-discovery-lang-82e45b514988145c2cb3,consensus clustering 一致性聚类; non-negative matrix factorization 非负矩阵分解; cophenetic correlation 共表型相关系数; external validation 外部验证,26069186,cancer-discovery-2026-09-19-stk11-language.md,162,no-literal-match-needs-context-review
cancer-discovery-lang-8356a712f02b3774b02c,beyond the initiating driver; within a genetically defined disease subset; an unresolved source of variation,26069186,cancer-discovery-2026-09-19-stk11-language.md,152,no-literal-match-needs-context-review
cancer-discovery-lang-8fe49f41fb08f0288831,response-evaluable population 反应可评价人群; nonsynonymous variant 非同义变异; H-score 组织化学评分; assay-specific cutoff 检测特异阈值,29773717,cancer-discovery-2026-09-19-stk11-language.md,250,no-literal-match-needs-context-review
cancer-discovery-lang-9801744df885ecdc6203,among [n] response-evaluable patients; compared with [reference genotype]; directionally consistent but imprecise,29773717,cancer-discovery-2026-09-19-stk11-language.md,273,no-literal-match-needs-context-review
cancer-discovery-lang-9b29249e978fdf11a3a2,estimate survival using [method]; censor at [endpoint-specific date]; adjust for multiple comparisons using [method],29773717,cancer-discovery-2026-09-19-stk11-language.md,262,no-literal-match-needs-context-review
cancer-discovery-lang-9dd87f941a6037b432db,enriched in [subtype]; associated with reduced [pathway readout]; concordant at the [RNA/protein] level,26069186,cancer-discovery-2026-09-19-stk11-language.md,185,no-literal-match-needs-context-review
cancer-discovery-lang-a075668ee28f47a126e5,assign overlapping genotypes using [hierarchy]; retain assay-specific thresholds; distinguish mutation from protein loss,29773717,cancer-discovery-2026-09-19-stk11-language.md,251,no-literal-match-needs-context-review
cancer-discovery-lang-a5af5c0d8d9edb1b22d0,restore [protein] expression; compare matched perturbation and control; quantify viability after [duration],26069186,cancer-discovery-2026-09-19-stk11-language.md,174,no-literal-match-needs-context-review
cancer-discovery-lang-b7b09a70c6991ed6d652,primary resistance 原发耐药; genomic correlate 基因组相关因素; tumor-intrinsic mechanism 肿瘤内在机制,29773717,cancer-discovery-2026-09-19-stk11-language.md,228,no-literal-match-needs-context-review
cancer-discovery-lang-c9fd13a184ee32a94685,co-occurring alteration 共发生改变; lineage differentiation 谱系分化; context dependence 背景依赖,26069186,cancer-discovery-2026-09-19-stk11-language.md,151,no-literal-match-needs-context-review
cancer-discovery-lang-ce52bf8a107ecd60ecc9,attenuate response under [treatment]; compare edited and control tumors; accompany a change in [immune compartment],29773717,cancer-discovery-2026-09-19-stk11-language.md,284,no-literal-match-needs-context-review
cancer-discovery-lang-d5db11c165c4308388c5,provide a framework for [stratification]; nominate [dependency] for further study; within [defined population],26069186,cancer-discovery-2026-09-19-stk11-language.md,218,no-literal-match-needs-context-review
cancer-discovery-lang-d7cfa20c144947827671,recurrence-free survival 无复发生存; adjusted association 调整后关联; nonsignificant difference 未达显著差异; compound-specific response 化合物特异反应,26069186,cancer-discovery-2026-09-19-stk11-language.md,195,no-literal-match-needs-context-review
cancer-discovery-lang-e34e3aa282e29cfec177,consistent with a context-dependent dependency; not fully captured by mutation status; warrant prospective evaluation,26069186,cancer-discovery-2026-09-19-stk11-language.md,207,no-literal-match-needs-context-review
cancer-discovery-lang-ee1890d3adca6d138959,molecular heterogeneity 分子异质性; integrative profiling 整合分子谱分析; subtype-associated vulnerability 亚型相关脆弱性,26069186,cancer-discovery-2026-09-19-stk11-language.md,140,no-literal-match-needs-context-review
cancer-discovery-lang-fbcaae91c2f34293f329,persist after adjustment for [covariates]; fail to meet the prespecified threshold; differ across compounds,26069186,cancer-discovery-2026-09-19-stk11-language.md,196,no-literal-match-needs-context-review
cancer-discovery-lang-fe616a1d959b11b5218f,co-mutation enrichment 共突变富集; functional deficiency 功能缺失; protein abundance 蛋白丰度; inflammatory signature 炎症表达特征,26069186,cancer-discovery-2026-09-19-stk11-language.md,184,no-literal-match-needs-context-review
ccr-lang-000ff6853169e63a0c3a,serial plasma sampling,38995268,ccr-2024-38995268-language.md,39,no-literal-match-needs-context-review
ccr-lang-002b77e15473a340b55c,noncompartmental pharmacokinetics,41252574,ccr-2026-09-19-batch2-language.md,191,no-literal-match-needs-context-review
ccr-lang-002bed468a8e1ce662a2,matched leukocyte sequencing,37071497,ccr-2023-37071497-language.md,65,no-literal-match-needs-context-review
ccr-lang-0030ecf5d092d8d9a8f0,treatment-refractory microenvironment,35727603,ccr-2022-35727603-language.md,67,no-literal-match-needs-context-review
ccr-lang-00332cc90fb157478154,nonlinear clearance,40260627,ccr-2025-clinical-2026-09-23-language.md,33,no-literal-match-needs-context-review
ccr-lang-0040a53ceffea4e886f4,mutagenesis-based resistance screen,37249619,ccr-2023-37249619-language.md,67,no-literal-match-needs-context-review
ccr-lang-008e1c4d3c7885675331,directionally concordant,34244291,ccr-2021-34244291-language.md,87,no-literal-match-needs-context-review
ccr-lang-0090005b93bea5adf7f4,epithelial–mesenchymal crosstalk,39540841,ccr-2025-omics-methods-2026-09-23-language.md,40,no-literal-match-needs-context-review
ccr-lang-009e89d18afe477007b2,median was not reached,39466024;39545922;39576208;39786430;39821070;40208070;40247431;40343815;40499141;40552922;40553459;40788282;40828417;40864503;40928991;41026583;41065506,ccr-2025-immunotherapy-fulltext-language.md,302,no-literal-match-needs-context-review
ccr-lang-00a07e1d96aa63790710,external validation cohort,39836372,ccr-2025-2026-09-19-intake-language.md,112,no-literal-match-needs-context-review
ccr-lang-00a983354376ce606231,exploratory biomarker analysis,39466024;39545922;39576208;39786430;39821070;40208070;40247431;40343815;40499141;40552922;40553459;40788282;40828417;40864503;40928991;41026583;41065506;41537692;41587109;41649868;41671081;41805895;41817317;41837748;41849236;41920765;42008740;42126592;42148884;42149140;42189883;42360104;42405849;42440365;42456046;42485106;42489696;42507545;42574065,ccr-phrase-patterns.md,85,no-literal-match-needs-context-review
ccr-lang-0104cb9bc06ec4473e37,undetectable molecular signal,41400436,ccr-2026-09-19-batch2-language.md,337,no-literal-match-needs-context-review
ccr-lang-0121e690105273cb52e7,proximity extension assay,40208070,ccr-2025-immunotherapy-fulltext-language.md,224,no-literal-match-needs-context-review
ccr-lang-01317897429b73e616ee,false-positive prediction,37233986,ccr-2023-37233986-language.md,83,no-literal-match-needs-context-review
ccr-lang-01352fdc71ceb4ca0d32,tissue availability,41400436,ccr-2026-09-19-batch2-language.md,345,no-literal-match-needs-context-review
ccr-lang-0147c7e2463b5147284e,referral-to-enrollment gap,42484497,ccr-2026-42484497-language.md,31,no-literal-match-needs-context-review
ccr-lang-0158606849b2a4424523,baseline-by-visit interaction,35012927,ccr-2022-35012927-language.md,79,no-literal-match-needs-context-review
ccr-lang-016e72f9746a16475116,normalized enrichment score,42126592;42149140;42360104;42440365;42456046;42485106;42489696,ccr-2026-immunotherapy-fulltext-language.md,218,no-literal-match-needs-context-review
ccr-lang-0180c4fdb0b2c5a4c463,benefit-risk profile,41537692;41587109;41671081;41805895;41849236;41920765;42008740;42126592;42149140;42189883;42360104;42405849;42440365;42456046;42485106;42489696;42574065,ccr-2026-immunotherapy-fulltext-language.md,310,no-literal-match-needs-context-review
ccr-lang-018396cb41f3e7705153,case-selection bias,38723277,ccr-2024-38723277-language.md,64,no-literal-match-needs-context-review
ccr-lang-018c7f10f7a7a42608b2,checkpoint-inhibitor-pretreated disease,40378060,ccr-2026-09-23-intake-language.md,87,no-literal-match-needs-context-review
ccr-lang-01cc02d8f64314a87cc7,investigator-assessed response,42507540,ccr-2026-09-19-supplement-language.md,465,no-literal-match-needs-context-review
ccr-lang-01d1862e4f2752090456,batch-aware data integration,41805895;42008740;42456046,ccr-2026-immunotherapy-fulltext-language.md,139,no-literal-match-needs-context-review
ccr-lang-01d9c829cf2215ec75a4,delayed growth,39466024;40208070;40343815;40499141;40828417;41026583,ccr-2025-immunotherapy-fulltext-language.md,274,no-literal-match-needs-context-review
ccr-lang-0209c5cc9a032481a45d,class-dependent co-alteration,42599160,ccr-2026-09-19-pending15-language.md,1290,no-literal-match-needs-context-review
ccr-lang-021782d8278d66fbbc7f,compartment-specific profiling,36449664,ccr-2023-36449664-language.md,51,no-literal-match-needs-context-review
ccr-lang-0231de4e79e7426f9b1a,exposure attenuation,41252574,ccr-2026-09-19-batch2-language.md,206,no-literal-match-needs-context-review
ccr-lang-02415eff21a00e71326c,paired on-treatment biopsy,41252574,ccr-2026-09-19-batch2-language.md,191,no-literal-match-needs-context-review
ccr-lang-024d425ccfa8eeaee629,centrally confirmed genomic alteration,41790029,ccr-2026-09-19-pending15-language.md,442,no-literal-match-needs-context-review
ccr-lang-024ef513b79d4eeb96b5,blinded morphometry,39540841,ccr-2025-omics-methods-2026-09-23-language.md,53,no-literal-match-needs-context-review
ccr-lang-0256b6328dc5357c284b,exposure-safety relationship,40343815;40499141;40928991,ccr-2025-immunotherapy-fulltext-language.md,285,no-literal-match-needs-context-review
ccr-lang-025879fb47bda4143581,likelihood-ratio comparison of nested models,33077574,ccr-2026-09-12-supplement-language.md,40,no-literal-match-needs-context-review
ccr-lang-0260a37bcd017657bdd3,referral-related selection bias,41790029,ccr-2026-09-19-pending15-language.md,467,no-literal-match-needs-context-review
ccr-lang-028d38c0a4ce728fd9cd,cancer-cell fraction,33593884,ccr-2021-33593884-language.md,60,no-literal-match-needs-context-review
ccr-lang-02cfb03e1da97ec9f631,additive survival association,32709715,ccr-2026-09-14-atm-smarca4-stk11-priority-language.md,88,no-literal-match-needs-context-review
ccr-lang-02e3f25811d5b56661e9,bead-based signal normalization,35993913,ccr-2022-35993913-language.md,69,no-literal-match-needs-context-review
ccr-lang-030053cbd66409a3aea7,patient-derived tumor culture,36602782,ccr-2023-36602782-language.md,65,no-literal-match-needs-context-review
ccr-lang-03185977617122f95a8e,single-arm benchmark comparison,41511400,ccr-2026-41511400-language.md,85,no-literal-match-needs-context-review
ccr-lang-0328db955131575d42fa,oncogenic driver subset,37022784,ccr-2023-37022784-language.md,49,no-literal-match-needs-context-review
ccr-lang-03358d339779f2a1e857,biochemical inhibition assay,37249619,ccr-2023-37249619-language.md,65,no-literal-match-needs-context-review
ccr-lang-034557000117bd0b6a7d,antigen-dependent activation,39466024;39576208;40828417;41026583,ccr-2025-immunotherapy-fulltext-language.md,152,no-literal-match-needs-context-review
ccr-lang-03478a237122414ff721,absence of a control arm,36166003,ccr-2022-36166003-language.md,117,no-literal-match-needs-context-review
ccr-lang-034ad5378c8792c3afc6,molecularly unselected population,35511938,ccr-2022-35511938-language.md,105,no-literal-match-needs-context-review
ccr-lang-037c3fb4a2ccaec4c473,secondary resistance mutation,41790029,ccr-2026-09-19-pending15-language.md,436,no-literal-match-needs-context-review
ccr-lang-03986a04992e2d133f0c,state-specific immunosuppressive program,33622705,ccr-2021-33622705-language.md,69,no-literal-match-needs-context-review
ccr-lang-03d0c556d3a75a751080,variable importance in projection,41849236,ccr-2026-immunotherapy-fulltext-language.md,210,no-literal-match-needs-context-review
ccr-lang-03f3960f43e7234fcbf4,first-line immunotherapy association,42268349,ccr-2026-09-19-supplement-language.md,640,no-literal-match-needs-context-review
ccr-lang-044e5681e0b58e2aff9c,cross-cohort outcome association,33622705,ccr-2021-33622705-language.md,71,no-literal-match-needs-context-review
ccr-lang-0478b38e0457af9935e9,measurable untreated brain metastases,39470668,ccr-2025-2026-09-19-intake-language.md,41,no-literal-match-needs-context-review
ccr-lang-0483ee873534d41c5f7c,complementary prognostic information,35727603,ccr-2022-35727603-language.md,105,no-literal-match-needs-context-review
