entry_id,journal,publication_year,source_article_ids,primary_section,secondary_sections,function,domain,unit_type,evidence_tier,expression,usage_constraint,source_locator,provenance_granularity,source_asset,source_line,catalog_version
"CD-STK11-001","Cancer Discovery","2015","26069186","Abstract","","integrative objective","multi-omics","vocabulary","human_observational+cell_line","molecular heterogeneity 分子异质性; integrative profiling 整合分子谱分析; subtype-associated vulnerability 亚型相关脆弱性","仅写实际检测过的组学；分子相关性与细胞系干预分开。","p2 Abstract","single-paper-synthesis","cancer-discovery-2026-09-19-stk11-language.md","140","2026-09-19"
"CD-STK11-002","Cancer Discovery","2015","26069186","Abstract","","integrative objective","multi-omics","collocation","human_observational+cell_line","jointly characterize [genomic and expression features]; resolve heterogeneity within [driver-defined disease]","仅写实际检测过的组学；分子相关性与细胞系干预分开。","p2 Abstract","single-paper-synthesis","cancer-discovery-2026-09-19-stk11-language.md","141","2026-09-19"
"CD-STK11-003","Cancer Discovery","2015","26069186","Abstract","","integrative objective","multi-omics","sentence_frame","human_observational+cell_line","We integrated [data modalities] across [cohorts] to delineate [subtypes] and assess their [biological/clinical] correlates.","仅写实际检测过的组学；分子相关性与细胞系干预分开。","p2 Abstract","single-paper-synthesis","cancer-discovery-2026-09-19-stk11-language.md","142","2026-09-19"
"CD-STK11-004","Cancer Discovery","2015","26069186","Abstract","","integrative objective","multi-omics","paragraph_architecture","human_observational+cell_line","Define heterogeneous population → state integrated approach → report principal subtype-level finding → give bounded experimental implication.","仅写实际检测过的组学；分子相关性与细胞系干预分开。","p2 Abstract","single-paper-synthesis","cancer-discovery-2026-09-19-stk11-language.md","143","2026-09-19"
"CD-STK11-005","Cancer Discovery","2015","26069186","Introduction","","gap and rationale","genomics","vocabulary","background_rationale","co-occurring alteration 共发生改变; lineage differentiation 谱系分化; context dependence 背景依赖","不要沿用2015年对KRAS可靶向性的历史判断；may不等于已证实因果。","pp2–3 Introduction","single-paper-synthesis","cancer-discovery-2026-09-19-stk11-language.md","151","2026-09-19"
"CD-STK11-006","Cancer Discovery","2015","26069186","Introduction","","gap and rationale","genomics","collocation","background_rationale","beyond the initiating driver; within a genetically defined disease subset; an unresolved source of variation","不要沿用2015年对KRAS可靶向性的历史判断；may不等于已证实因果。","pp2–3 Introduction","single-paper-synthesis","cancer-discovery-2026-09-19-stk11-language.md","152","2026-09-19"
"CD-STK11-007","Cancer Discovery","2015","26069186","Introduction","","gap and rationale","genomics","sentence_frame","background_rationale","Although [driver] defines a clinically relevant group, variation in [co-alterations] may distinguish biologically different subsets.","不要沿用2015年对KRAS可靶向性的历史判断；may不等于已证实因果。","pp2–3 Introduction","single-paper-synthesis","cancer-discovery-2026-09-19-stk11-language.md","153","2026-09-19"
"CD-STK11-008","Cancer Discovery","2015","26069186","Introduction","","gap and rationale","genomics","paragraph_architecture","background_rationale","Established driver → residual heterogeneity → plausible co-alteration context → specific question and study scope.","不要沿用2015年对KRAS可靶向性的历史判断；may不等于已证实因果。","pp2–3 Introduction","single-paper-synthesis","cancer-discovery-2026-09-19-stk11-language.md","154","2026-09-19"
"CD-STK11-009","Cancer Discovery","2015","26069186","Methods","","subtyping and validation","bioinformatics;bulk_transcriptomics","vocabulary","computational_human_observational","consensus clustering 一致性聚类; non-negative matrix factorization 非负矩阵分解; cophenetic correlation 共表型相关系数; external validation 外部验证","只能写真实执行的方法；独立验证与训练集重抽样不同；cophenetic可保留英文避免术语歧义。","pp16–18 Methods; Fig1","single-paper-synthesis","cancer-discovery-2026-09-19-stk11-language.md","162","2026-09-19"
"CD-STK11-010","Cancer Discovery","2015","26069186","Methods","","subtyping and validation","bioinformatics;bulk_transcriptomics","collocation","computational_human_observational","select the number of clusters using [criterion]; apply a fixed classifier to [independent cohort]; harmonize expression within [platform]","只能写真实执行的方法；独立验证与训练集重抽样不同；cophenetic可保留英文避免术语歧义。","pp16–18 Methods; Fig1","single-paper-synthesis","cancer-discovery-2026-09-19-stk11-language.md","163","2026-09-19"
"CD-STK11-011","Cancer Discovery","2015","26069186","Methods","","subtyping and validation","bioinformatics;bulk_transcriptomics","sentence_frame","computational_human_observational","Subtypes were derived in [training set] using [algorithm] and evaluated in [independent sets] without redefining the classifier.","只能写真实执行的方法；独立验证与训练集重抽样不同；cophenetic可保留英文避免术语歧义。","pp16–18 Methods; Fig1","single-paper-synthesis","cancer-discovery-2026-09-19-stk11-language.md","164","2026-09-19"
"CD-STK11-012","Cancer Discovery","2015","26069186","Methods","","subtyping and validation","bioinformatics;bulk_transcriptomics","paragraph_architecture","computational_human_observational","Specify eligible samples/platforms → preprocessing → cluster selection/stability → fixed assignment rule → independent evaluation.","只能写真实执行的方法；独立验证与训练集重抽样不同；cophenetic可保留英文避免术语歧义。","pp16–18 Methods; Fig1","single-paper-synthesis","cancer-discovery-2026-09-19-stk11-language.md","165","2026-09-19"
"CD-STK11-013","Cancer Discovery","2015","26069186","Methods","","experimental perturbation","cell_line_pharmacology;statistics","vocabulary","cell_line_intervention","isogenic rescue 同源背景回补; knockdown 敲低; concentration–response curve 浓度反应曲线; half-maximal inhibitory concentration 半数抑制浓度","不要把细胞系数或技术复孔当患者数；不要从原文方向冲突生成通用IC50结论。","pp16–18 Methods; Fig7","single-paper-synthesis","cancer-discovery-2026-09-19-stk11-language.md","173","2026-09-19"
"CD-STK11-014","Cancer Discovery","2015","26069186","Methods","","experimental perturbation","cell_line_pharmacology;statistics","collocation","cell_line_intervention","restore [protein] expression; compare matched perturbation and control; quantify viability after [duration]","不要把细胞系数或技术复孔当患者数；不要从原文方向冲突生成通用IC50结论。","pp16–18 Methods; Fig7","single-paper-synthesis","cancer-discovery-2026-09-19-stk11-language.md","174","2026-09-19"
"CD-STK11-015","Cancer Discovery","2015","26069186","Methods","","experimental perturbation","cell_line_pharmacology;statistics","sentence_frame","cell_line_intervention","Drug sensitivity was evaluated in [cell lines] using [assay], with [rescue/knockdown] experiments to test the contribution of [factor].","不要把细胞系数或技术复孔当患者数；不要从原文方向冲突生成通用IC50结论。","pp16–18 Methods; Fig7","single-paper-synthesis","cancer-discovery-2026-09-19-stk11-language.md","175","2026-09-19"
"CD-STK11-016","Cancer Discovery","2015","26069186","Methods","","experimental perturbation","cell_line_pharmacology;statistics","paragraph_architecture","cell_line_intervention","Define experimental unit → genotype/control → exposure and viability readout → curve fitting → uncertainty and replication.","不要把细胞系数或技术复孔当患者数；不要从原文方向冲突生成通用IC50结论。","pp16–18 Methods; Fig7","single-paper-synthesis","cancer-discovery-2026-09-19-stk11-language.md","176","2026-09-19"
"CD-STK11-017","Cancer Discovery","2015","26069186","Results","","genomic and immune characterization","genomics;RPPA;immune_phenotype","vocabulary","human_observational","co-mutation enrichment 共突变富集; functional deficiency 功能缺失; protein abundance 蛋白丰度; inflammatory signature 炎症表达特征","KL表达分型不等于STK11突变组；RPPA不是全局质谱蛋白组；表达特征不等于实测细胞比例。","pp3–9; Figs1–5","single-paper-synthesis","cancer-discovery-2026-09-19-stk11-language.md","184","2026-09-19"
