pmid,year,title,journal,doi,official_category,secondary_domain_tags,disease_scope,source_role,evidence_tier,pdf_version,pdf_filename,sha256,physical_pages,main_read_completed_on,reading_stage,supplement_status,review_status,source_asset,main_visual_physical_pages
36378548,2023,A Phase I/II Trial of Oral SRA737 (a Chk1 Inhibitor) Given in Combination with Low-Dose Gemcitabine in Patients with Advanced Cancer,Clinical Cancer Research,10.1158/1078-0432.ccr-22-2074,Clinical Trials: Targeted Therapy,CHK1;SRA737;gemcitabine;phase-I-II;RP2D;PK;safety,mixed advanced solid tumors including a small SCLC cohort,cross-tumor-early-phase-methods,single-arm-clinical,publisher_typeset_pdf,Jones_A_Phase_I_II_Trial_of_Oral_SRA737_(a_Chk1_Inhibitor)_Given_in_Combination_with_Low-Dose_Gemcitabi_PMID36378548.pdf,5ef262d70ba54b80286a30cf84c36d8160bd091cc248c2afa26061b2508aa625,10,2026-09-26,main_text_deep_read_complete,not_supplied,not_reviewed,ccr-2023-36378548-language.md,2;4;5;6;7;8
36255391,2023,A Phase II Clinical Trial of Nivolumab and Temozolomide for Neuroendocrine Neoplasms,Clinical Cancer Research,10.1158/1078-0432.ccr-22-1552,Clinical Trials: Immunotherapy,neuroendocrine-neoplasm;nivolumab;temozolomide;CyTOF;immune-phenotyping;phase-II,mixed neuroendocrine neoplasms including pulmonary carcinoids; not SCLC,cross-tumor-immunotherapy-clinical-methods,single-arm-clinical,publisher_typeset_pdf,Owen_A_Phase_II_Clinical_Trial_of_Nivolumab_and_Temozolomide_for_Neuroendocrine_Neoplasms_PMID36255391.pdf,8303b796107e3377a601fa24bb5a18846973141bbb2ea9fceeeaa59f17425611,11,2026-09-26,main_text_deep_read_complete,not_supplied,not_reviewed,ccr-2023-36255391-language.md,3;4;5;6;7;8;9
36469573,2023,A Phase II Window of Opportunity Study of Neoadjuvant PD-L1 versus PD-L1 plus CTLA-4 Blockade for Patients with Malignant Pleural Mesothelioma,Clinical Cancer Research,10.1158/1078-0432.ccr-22-2566,Clinical Trials: Immunotherapy,mesothelioma;neoadjuvant;durvalumab;tremelimumab;IMC;CyTOF;TLS,resectable pleural mesothelioma; not NSCLC,thoracic-spatial-proteomic-window-study,randomized-clinical,author_manuscript,Lee_A_Phase_II_Window_of_Opportunity_Study_of_Neoadjuvant_PD-L1_versus_PD-L1_plus_CTLA-4_Blockade_for_P_PMID36469573.pdf,41b12a54b594c34e387c3227a3d262ac7cf0f74383813503596a6685352b021d,27,2026-09-26,main_text_deep_read_complete,not_supplied,not_reviewed,ccr-2023-36469573-language.md,18;19;20;21;22;23;24;25;26;27
37233991,2023,Association of Antifolate Response Signature Status and Clinical Activity of Pemetrexed-Platinum Chemotherapy in Non-Small Cell Lung Cancer: The Piedmont Study,Clinical Cancer Research,10.1158/1078-0432.ccr-22-2558,Translational Cancer Mechanisms and Therapy,RNA-seq;AF-PRS;classifier;antifolate;pemetrexed;chemoimmunotherapy,NSCLC; mixed stage III/IV cohort,lung-transcriptomic-treatment-association,retrospective-clinical,publisher_typeset_pdf,Eisner_Association_of_Antifolate_Response_Signature_Status_and_Clinical_Activity_of_Pemetrexed-Platinum_PMID37233991.pdf,95ecc428a428f003add78d6ffe44c63a39c7dd55cf071f30a56ac89d37c5a268,11,2026-09-26,main_text_deep_read_complete,not_supplied,not_reviewed,ccr-2023-37233991-language.md,4;5;6;7;8
37249619,2023,"BBT-176, a Novel Fourth-Generation Tyrosine Kinase Inhibitor for Osimertinib-Resistant EGFR Mutations in Non-Small Cell Lung Cancer",Clinical Cancer Research,10.1158/1078-0432.ccr-22-3901,Clinical Trials: Targeted Therapy,EGFR-C797S;BBT176;BaF3;ENU;PDX;resistance;case-vignette,EGFR-mutant NSCLC models and two selected clinical cases,lung-preclinical-early-clinical-targeted-therapy,preclinical,publisher_typeset_pdf,"Lim_BBT-176,_a_Novel_Fourth-Generation_Tyrosine_Kinase_Inhibitor_for_Osimertinib-Resistant_EGFR_Mutatio_PMID37249619.pdf",9c171ed568bfa0395c5df6f21d12f4ea448cf9d90f471125458bc24dd32624c2,13,2026-09-26,main_text_deep_read_complete,not_supplied,not_reviewed,ccr-2023-37249619-language.md,4;5;6;7;8;9;10
36729110,2023,Brief Report: Combination of Osimertinib and Dacomitinib to Mitigate Primary and Acquired Resistance in EGFR-Mutant Lung Adenocarcinomas,Clinical Cancer Research,10.1158/1078-0432.ccr-22-3484,Research Briefs: Clinical Trial Brief Reports,EGFR;on-target-resistance;bypass-resistance;paired-NGS;VAF;dual-TKI;tolerability,EGFR-mutant lung adenocarcinoma,lung-early-phase-resistance-genomics,early-phase-clinical,author_manuscript,Elkrief_Brief_Report_Combination_of_Osimertinib_and_Dacomitinib_to_Mitigate_Primary_and_Acquired_Resist_PMID36729110.pdf,e7c7649ade1d943b3c74adf11f43d290af196bb6e6bdc05269c8ea20da5e2f69,12,2026-09-26,main_text_deep_read_complete,not_supplied,not_reviewed,ccr-2023-36729110-language.md,10;11;12
37702716,2023,Circulating Tumor DNA Monitoring on Chemo-immunotherapy for Risk Stratification in Advanced Non-Small Cell Lung Cancer,Clinical Cancer Research,10.1158/1078-0432.ccr-23-1578,Precision Medicine and Imaging,ctDNA;landmark-analysis;chemoimmunotherapy;clonal-hematopoiesis;treatment-duration,advanced squamous NSCLC; IMpower131 biomarker subset,lung-randomized-trial-biomarker-reanalysis,clinical-correlative,publisher_typeset_pdf,Pellini_Circulating_Tumor_DNA_Monitoring_on_Chemo-immunotherapy_for_Risk_Stratification_in_Advanced_Non_PMID37702716.pdf,4c7b132e41c715f38a67db6ebf266d7b0c48abba7fb9e0b2fd89614398b33ab0,10,2026-09-26,main_text_deep_read_complete,not_supplied,not_reviewed,ccr-2023-37702716-language.md,3;4;5;6;7
37432985,2023,Clinical and Molecular Features of Long-term Response to Immune Checkpoint Inhibitors in Patients with Advanced Non-Small Cell Lung Cancer,Clinical Cancer Research,10.1158/1078-0432.ccr-23-1207,Precision Medicine and Imaging,long-term-response;immunotherapy;WES;clonal-TMB;STK11;multiple-testing,advanced NSCLC treated with ICI,lung-clinicogenomic-response-duration,retrospective-clinical,publisher_typeset_pdf,Thummalapalli_Clinical_and_Molecular_Features_of_Long-term_Response_to_Immune_Checkpoint_Inhibitors_in_PMID37432985.pdf,d9246bcdbb595d5143ae2d642d29ddb80ab38e5578722e7d1d4033a0881a1e36,11,2026-09-26,main_text_deep_read_complete,not_supplied,not_reviewed,ccr-2023-37432985-language.md,4;5;6;7
36602782,2023,Combination Therapies Targeting ALK-aberrant Neuroblastoma in Preclinical Models,Clinical Cancer Research,10.1158/1078-0432.ccr-22-2274,Translational Cancer Mechanisms and Therapy,ALK;neuroblastoma;brigatinib;lorlatinib;PDTC;PDX;GEMM;lineage-state,ALK-altered neuroblastoma; not ALK-fusion NSCLC,cross-tumor-preclinical-methods,preclinical,publisher_typeset_pdf,Tucker_Combination_Therapies_Targeting_ALK-aberrant_Neuroblastoma_in_Preclinical_Models_PMID36602782.pdf,6e3eacc0e7a2ae4dc587798951a88df6b5c11cb89971db391a819dbef0ce4be5,15,2026-09-26,main_text_deep_read_complete,not_supplied,not_reviewed,ccr-2023-36602782-language.md,5;6;7;8;9;10
36537918,2023,Crizotinib Has Preclinical Efficacy in Philadelphia-Negative Myeloproliferative Neoplasms,Clinical Cancer Research,10.1158/1078-0432.ccr-22-1763,Translational Cancer Mechanisms and Therapy,JAK2;MPN;MST1R-RON;crizotinib;coimmunoprecipitation;ZIP;erythropoiesis,myeloproliferative neoplasms; index lung-cancer comorbidity case,cross-tumor-preclinical-repurposing,preclinical,author_manuscript,Gurska_Crizotinib_Has_Preclinical_Efficacy_in_Philadelphia-Negative_Myeloproliferative_Neoplasms_PMID36537918.pdf,3649214abda7667258f8cb77467c1862b41e5ffd997b95466f90043cb3ed8ca0,27,2026-09-26,main_text_deep_read_complete,not_supplied,not_reviewed,ccr-2023-36537918-language.md,20;21;23;24;26;27
