pmid,year,title,journal,doi,official_category,secondary_domain_tags,disease_scope,source_role,evidence_tier,pdf_version,pdf_filename,sha256,physical_pages,main_read_completed_on,reading_stage,supplement_status,review_status,source_asset,main_visual_physical_pages
38088895,2024,A Dysfunctional T-cell Gene Signature for Predicting Nonresponse to PD-1 Blockade in Non-small Cell Lung Cancer That Is Suitable for Routine Clinical Diagnostics,Clinical Cancer Research,10.1158/1078-0432.ccr-23-1061,Precision Medicine and Imaging,targeted-RNA-expression;NanoString;gene-signature;immunotherapy;diagnostic-performance,NSCLC,primary-translational,retrospective-observational,publisher_typeset_pdf,Hummelink_A_Dysfunctional_T-cell_Gene_Signature_for_Predicting_Nonresponse_to_PD-1_Blockade_in_Non-smal_PMID38088895.pdf,27fd103bd2169ae77bec7422dce4bf67db9e3143d8761c643266bdbbce6a08a0,10,2026-09-23,main_text_deep_read_complete,not_supplied,not_reviewed,ccr-2024-38088895-language.md,3;5;6;7;8
39287821,2024,"A Phase I First-in-Human Study of ABBV-011, a Seizure-Related Homolog Protein 6-Targeting Antibody-Drug Conjugate, in Patients with Small Cell Lung Cancer",Clinical Cancer Research,10.1158/1078-0432.ccr-24-1547,Clinical Trials: Targeted Therapy,SEZ6;ADC;ABBV-011;IHC;PK;hepatic-toxicity,SCLC,primary-clinical,single-arm-clinical,publisher_typeset_pdf,"Morgensztern_A_Phase_I_First-in-Human_Study_of_ABBV-011,_a_Seizure-Related_Homolog_Protein_6-Targeting_PMID39287821.pdf",c47e51e0e6de6870f3cefb50aee774bc8098ff70ad563a5b83464803c451e55c,11,2026-09-23,main_text_deep_read_complete,not_supplied,not_reviewed,ccr-2024-39287821-language.md,4;5;6;7;8
38940666,2024,"A Phase I/II Study of Valemetostat (DS-3201b), an EZH1/2 Inhibitor, in Combination with Irinotecan in Patients with Recurrent Small-Cell Lung Cancer",Clinical Cancer Research,10.1158/1078-0432.ccr-23-3383,Research Briefs: Clinical Trial Brief Reports,EZH1-EZH2;valemetostat;irinotecan;IHC;dose-limiting-toxicity,recurrent-SCLC,primary-clinical,single-arm-clinical,author_manuscript,"Choudhury_A_Phase_I_II_Study_of_Valemetostat_(DS-3201b),_an_EZH1_2_Inhibitor,_in_Combination_with_Irino_PMID38940666.pdf",6c8060975646e0fb1de9a23e3c37eb9922d852ca65a84da2f8a0123b5514bea7,15,2026-09-23,main_text_deep_read_complete,not_supplied,not_reviewed,ccr-2024-38940666-language.md,11;12;13;14;15
37831007,2024,A Small Molecule with Big Impact: MRTX1133 Targets the KRASG12D Mutation in Pancreatic Cancer,Clinical Cancer Research,10.1158/1078-0432.ccr-23-2098,Review,KRAS;MRTX1133;targeted-therapy;review,pancreatic-cancer;KRAS-G12D,background-review-only,secondary-review,author_manuscript,Wei_A_Small_Molecule_with_Big_Impact_MRTX1133_Targets_the_KRASG12D_Mutation_in_Pancreatic_Cancer_PMID37831007.pdf,a20eceddf1cb0fcadabb1cd05ae4db0f9ab9710644d8802326ba60427a3c92f5,18,2026-09-23,background_review_read,not_supplied,not_reviewed,ccr-2024-37831007-background.md,15;16;17;18
38723277,2024,Biomarker Identification and Risk Prediction Model Development for Differentiated Thyroid Carcinoma Lung Metastasis Based on Primary Lesion Proteomics,Clinical Cancer Research,10.1158/1078-0432.ccr-23-3806,Translational Cancer Mechanisms and Therapy,proteomics;FFPE;metastasis;prediction-model;bioinformatics,thyroid-primary-with-lung-metastasis;not-NSCLC,cross-tumor-methodology,retrospective-observational,publisher_typeset_pdf,Peng_Biomarker_Identification_and_Risk_Prediction_Model_Development_for_Differentiated_Thyroid_Carcinom_PMID38723277.pdf,8d7900fd1800a5caa500009427696e0aa508bd357cf9c6750b83f800ea34e162,14,2026-09-23,main_text_deep_read_complete,not_supplied,not_reviewed,ccr-2024-38723277-language.md,3;5;7;8;9;10;11;12
38995268,2024,Circulating Tumor DNA Dynamics Reveal KRAS G12C Mutation Heterogeneity and Response to Treatment with the KRAS G12C Inhibitor Divarasib in Solid Tumors,Clinical Cancer Research,10.1158/1078-0432.ccr-24-0255,Precision Medicine and Imaging,ctDNA;KRAS-G12C;clonality;divarasib;molecular-response,NSCLC;colorectal;other-solid-tumors,primary-translational,exploratory-single-arm,publisher_typeset_pdf,Choi_Circulating_Tumor_DNA_Dynamics_Reveal_KRAS_G12C_Mutation_Heterogeneity_and_Response_to_Treatment_w_PMID38995268.pdf,ee2312395f29f0c8a41f34b0e69f83d1a715ad038d16c9def61ff85ac2f8ac07,10,2026-09-23,main_text_deep_read_complete,not_supplied,not_reviewed,ccr-2024-38995268-language.md,3;5;6;7;8
38060240,2024,Circulating Tumor DNA Enables Sensitive Detection of Actionable Gene Fusions and Rearrangements Across Cancer Types,Clinical Cancer Research,10.1158/1078-0432.ccr-23-2693,Precision Medicine and Imaging,ctDNA;gene-fusions;rearrangements;assay-concordance;targeted-therapy,pan-cancer-including-NSCLC,pan-cancer-methodology,retrospective-observational,publisher_typeset_pdf,Kasi_Circulating_Tumor_DNA_Enables_Sensitive_Detection_of_Actionable_Gene_Fusions_and_Rearrangements_Ac_PMID38060240.pdf,0de8f6721ffb0248b04b46942ebd41b76d388f24906b9c852329c8619e53bfcc,13,2026-09-23,main_text_deep_read_complete,not_supplied,not_reviewed,ccr-2024-38060240-language.md,4;5;6;7;8;10
38300729,2024,Combining Genomic Biomarkers to Guide Immunotherapy in Non-Small Cell Lung Cancer,Clinical Cancer Research,10.1158/1078-0432.ccr-23-4027,Precision Medicine and Imaging,STK11;KEAP1;EGFR;TMB;WGS;immunotherapy;genomic-rule,NSCLC,primary-translational,retrospective-observational,publisher_typeset_pdf,van_de_Haar_Combining_Genomic_Biomarkers_to_Guide_Immunotherapy_in_Non-Small_Cell_Lung_Cancer_PMID38300729.pdf,e6fe17f7403bcb66e94d6aaad03137c6ea95e62e0c04f5d84b33ac7f5554ad19,12,2026-09-23,main_text_deep_read_complete,not_supplied,not_reviewed,ccr-2024-38300729-language.md,4;5;7;8;9
38912901,2024,Detecting Small Cell Transformation in Patients with Advanced EGFR Mutant Lung Adenocarcinoma through Epigenomic cfDNA Profiling,Clinical Cancer Research,10.1158/1078-0432.ccr-24-0466,Precision Medicine and Imaging,cfDNA;epigenomics;bulk-RNA;PDX;lineage-transformation,EGFR-mutant-lung-adenocarcinoma;SCLC-transformation,primary-translational,translational-feasibility,publisher_typeset_pdf,El_Zarif_Detecting_Small_Cell_Transformation_in_Patients_with_Advanced_EGFR_Mutant_Lung_Adenocarcinoma_PMID38912901.pdf,4c394b89c60b20c9aa4ca28ebd33e4ea304c0beb914e8785da0f857d4d1e5c7a,14,2026-09-23,main_text_deep_read_complete,not_supplied,not_reviewed,ccr-2024-38912901-language.md,4;5;7;8;9;10
38277241,2024,Development of a [89Zr]Zr-labeled Human Antibody using a Novel Phage-displayed Human scFv Library,Clinical Cancer Research,10.1158/1078-0432.ccr-23-3647,Precision Medicine and Imaging,phage-display;TIP1;immuno-PET;antibody;binding-assay,lung-cancer-xenografts,primary-preclinical,preclinical,author_manuscript,Singh_Development_of_a_[89Zr]Zr-labeled_Human_Antibody_using_a_Novel_Phage-displayed_Human_scFv_Library_PMID38277241.pdf,79e0dec476a1437f2b3486f379ff8b388449c2702b4e808f18a5cf264fcfc6d0,30,2026-09-23,main_text_deep_read_complete,not_supplied,not_reviewed,ccr-2024-38277241-language.md,25;26;27;28;29;30
