pmid,journal,year,supplied_pdf_version,archived_pdf_count,sha256,physical_pages,checked_on,scope
26069186,Cancer Discovery,2015,author_manuscript,1,2337083294ccd5fd43e3c26b26afc031c090d9e826ef8f5fd390bf7b790a4722,35,2026-09-19,identity/header only; not a new scientific read
29773717,Cancer Discovery,2018,author_manuscript,1,0e632e402ade9ee9f42d3baccd2408c323f507333f533ef391c892b8c0ffbf0f,26,2026-09-19,identity/header only; not a new scientific read
32709715,Clinical Cancer Research,2020,author_manuscript,1,123cd6740a620ed3c818b3411b3cc2aa38262f4b51d5b9486a10b886e983843a,16,2026-09-19,identity/header only; not a new scientific read
33077574,Clinical Cancer Research,2021,not_classified_by_header,1,758747dacfc448ee96e212d42e64fbf07f8e0f125df525821154c53f81e7cf91,13,2026-09-19,identity/header only; not a new scientific read
33323402,Clinical Cancer Research,2021,author_manuscript,1,70d69b23a80830901275f23af48090a9a6d64bb862d2a52328b1e4c3463ca55a,22,2026-09-19,identity/header only; not a new scientific read
34140403,Clinical Cancer Research,2021,author_manuscript,1,77e702b6dafabc6f3888e783d5402030f563a494a85cbdf965d05fee3a013eb0,22,2026-09-19,identity/header only; not a new scientific read
34244291,Clinical Cancer Research,2021,author_manuscript,1,f8169883b1e12b22dbdc42628550c8172544b900b3067dc87331ead6c7239e16,22,2026-09-19,identity/header only; not a new scientific read
34261696,Clinical Cancer Research,2021,not_classified_by_header,1,d6858c6717e29e0f74e7c54fbc0f4e1b428c2f418634e807280fc0608f0a79ee,12,2026-09-19,identity/header only; not a new scientific read
34285059,Clinical Cancer Research,2022,not_classified_by_header,1,5f184b9f6478a3e1960192214f21d64aece25f64c05f1805e1c90009f6f27d17,8,2026-09-19,identity/header only; not a new scientific read
34301751,Clinical Cancer Research,2021,not_classified_by_header,1,b2fc82ca70e78b1e395ab198de76ed3702b79083a4a69fe1e6ba23fcd568ad54,14,2026-09-19,identity/header only; not a new scientific read
34376534,Clinical Cancer Research,2021,not_classified_by_header,1,e4851b9538d89ff100b47ea59781fe17c46ad1a3ed9ffca0964672649aea1f45,13,2026-09-19,identity/header only; not a new scientific read
34407972,Clinical Cancer Research,2021,not_classified_by_header,1,6911a4f9adf742f8abff7f9c1e14ddd235f7aeb3a40415b002ea183469231aaa,18,2026-09-19,identity/header only; not a new scientific read
