publication_year,journal,title,pmid,doi,pmcid,priority,scope,disease,domains,rationale_and_limits,official_category,category_status,category_source,eligibility,reading_status,included_in_corpus,stk11_highlight,fulltext_acquisition,publication_date_note,discovery_route,pubmed_url,doi_url,pmc_url,checked_on
2026,Clinical Cancer Research,The Impact of Concordance between Liquid and Tissue Biopsy for Actionable Mutations: Insights from the ROME Trial.,40833744,10.1158/1078-0432.ccr-25-0430,PMC12770931,P1,pan-cancer,晚期实体瘤；ROME试验,组织与液体活检;可干预改变一致性;NGS;分子匹配;随机试验亚组,适合检测一致/不一致的定义和分层治疗效果。总体试验随机化不使事后生物标志物亚组自动成为确证预测证据。,,pending_official_verification,,candidate_abstract_screened_scope_extension,metadata_and_abstract_screened_not_fulltext_read,false,false,not_acquired_in_this_batch,issue year when available; exact online-first date not independently verified,prior_candidate_queue_targeted_lookup,https://pubmed.ncbi.nlm.nih.gov/40833744/,https://doi.org/10.1158/1078-0432.ccr-25-0430,https://pmc.ncbi.nlm.nih.gov/articles/PMC12770931/,2026-09-23
2026,Clinical Cancer Research,Germline Pathogenic Variant Prediction Model for Tumor-Only Sequencing Based on Japanese Clinicogenomic Database.,41403154,10.1158/1078-0432.ccr-25-2985,,P1,pan-cancer,日本肿瘤基因检测队列,胚系与体细胞;肿瘤单样本测序;VAF;机器学习;列线图;决策曲线,适合变异层级风险预测、肿瘤纯度校正、模型区分度及外部数据验证。模型预测不能替代临床胚系确认；具体在线首发日期待核。,,pending_official_verification,,candidate_abstract_screened_scope_extension,metadata_and_abstract_screened_not_fulltext_read,false,false,not_acquired_in_this_batch,issue year when available; exact online-first date not independently verified,pubmed_omics_query_2026-09-23,https://pubmed.ncbi.nlm.nih.gov/41403154/,https://doi.org/10.1158/1078-0432.ccr-25-2985,,2026-09-23
2026,Clinical Cancer Research,Comprehensive Genomic and Transcriptomic Characterization of MTAP Loss across Advanced Solid Tumors.,42148883,10.1158/1078-0432.ccr-25-4936,PMC13430230,P1,pan-cancer,晚期实体瘤,基因组学;转录组;免疫去卷积;通路富集;共缺失;免疫治疗结局,学习基因缺失定义→共改变谱→转录及免疫背景→治疗结局的文章结构。MTAP/CDKN2A共缺失可作结构参照；观察性关联不能直接写成STK11预测疗效证据。,,pending_official_verification,,candidate_abstract_screened_scope_extension,metadata_and_abstract_screened_not_fulltext_read,false,false,not_acquired_in_this_batch,issue year when available; exact online-first date not independently verified,pubmed_omics_query_2026-09-23,https://pubmed.ncbi.nlm.nih.gov/42148883/,https://doi.org/10.1158/1078-0432.ccr-25-4936,https://pmc.ncbi.nlm.nih.gov/articles/PMC13430230/,2026-09-23
2026,Clinical Cancer Research,"The Genomic Landscape of MYC-, MYCL-, and MYCN-Amplified Solid Tumors.",42340371,10.1158/1078-0432.ccr-25-4102,,P1,pan-cancer,儿童及成人实体瘤,拷贝数;扩增局灶性;FACETS;共发生与互斥;表达关联,适合积累扩增阈值、局灶/广泛扩增、谱系差异和共改变的陈述。基因拷贝数与表达相关不等于功能依赖。,,pending_official_verification,,candidate_abstract_screened_scope_extension,metadata_and_abstract_screened_not_fulltext_read,false,false,not_acquired_in_this_batch,issue year when available; exact online-first date not independently verified,pubmed_omics_query_2026-09-23,https://pubmed.ncbi.nlm.nih.gov/42340371/,https://doi.org/10.1158/1078-0432.ccr-25-4102,,2026-09-23
2026,Clinical Cancer Research,Application of a Translational Research Platform to Unveil Efficacy Signals and Mechanisms of Resistance of FGFR Inhibitors in Multiple FGFR-Altered Solid Tumors.,42440358,10.1158/1078-0432.ccr-26-0300,,P1,pan-cancer,FGFR改变实体瘤,基因组学;转录组;蛋白组;功能注释;PDX;靶向耐药,适合跨层验证、基因/转录/蛋白不一致和耐药通路的表达。临床、蛋白检测、FACT及PDX属于不同证据层级，不能合并分母。,,pending_official_verification,,candidate_abstract_screened_scope_extension,metadata_and_abstract_screened_not_fulltext_read,false,false,not_acquired_in_this_batch,issue year when available; exact online-first date not independently verified,pubmed_omics_query_2026-09-23,https://pubmed.ncbi.nlm.nih.gov/42440358/,https://doi.org/10.1158/1078-0432.ccr-26-0300,,2026-09-23
2026,Clinical Cancer Research,Longitudinal Phenotyping of Circulating Tumor Cells using a Scalable Deep Learning Framework.,42611962,10.1158/1078-0432.ccr-26-0754,,P1,pan-cancer,六类癌症；具体瘤种待全文确认,循环肿瘤细胞;深度学习;单细胞图像分割;纵向表型;生存分析,学习训练与评估、潜在表征、单细胞性能和患者级纵向指标的区别。细胞数不能当作独立患者数；摘要所述验证范围仍需全文核查。,Research Briefs: Precision Medicine and Therapeutics,publisher_listing_verified_2026-09-23,https://aacrjournals.org/clincancerres/online-first,candidate_abstract_screened_scope_extension,metadata_and_abstract_screened_not_fulltext_read,false,false,not_acquired_in_this_batch,issue year when available; exact online-first date not independently verified,pubmed_omics_query_2026-09-23,https://pubmed.ncbi.nlm.nih.gov/42611962/,https://doi.org/10.1158/1078-0432.ccr-26-0754,,2026-09-23
2026,Clinical Cancer Research,Network-Integrated Platform for Clinical Trial Navigation from the New South Wales Early Phase Clinical Trials Alliance.,42484497,10.1158/1078-0432.ccr-26-0733,PMC13575553,P2,pan-cancer,晚期实体瘤,ctDNA;可干预改变;分子肿瘤委员会;试验匹配;精准医学,适合基因组结果转化路径和实施性结局。可干预改变、建议方案、真正接受分子匹配治疗与入组试验是不同终点。,,pending_official_verification,,candidate_abstract_screened_scope_extension,metadata_and_abstract_screened_not_fulltext_read,false,false,not_acquired_in_this_batch,issue year when available; exact online-first date not independently verified,pubmed_omics_query_2026-09-23,https://pubmed.ncbi.nlm.nih.gov/42484497/,https://doi.org/10.1158/1078-0432.ccr-26-0733,https://pmc.ncbi.nlm.nih.gov/articles/PMC13575553/,2026-09-23
2025,Clinical Cancer Research,Checkpoint Blockade Combinations in Tumor Mutational Burden/Load-High Tumors: Insights from the Atezolizumab + Bevacizumab and Nivolumab + Ipilimumab Cohorts in the Drug Rediscovery Protocol.,41032014,10.1158/1078-0432.ccr-25-2260,,P1,pan-cancer,TMB/TML高实体瘤；DRUP队列,WGS;RNA测序;TMB;TML;克隆性;免疫浸润;联合免疫治疗,补充平台依赖阈值、临床获益与ORR区别、组学相关性和持久应答。两个非随机治疗队列不能直接比较优效。,,pending_official_verification,,candidate_abstract_screened_scope_extension,metadata_and_abstract_screened_not_fulltext_read,false,false,not_acquired_in_this_batch,issue year when available; exact online-first date not independently verified,pubmed_omics_query_2026-09-23,https://pubmed.ncbi.nlm.nih.gov/41032014/,https://doi.org/10.1158/1078-0432.ccr-25-2260,,2026-09-23
2026,Clinical Cancer Research,Integrated Single-Cell and Spatial Analysis Reveals Context-Dependent Myeloid-T Cell Interactions in Response to Immune Checkpoint Blockade in Head and Neck Cancer.,41837744,10.1158/1078-0432.ccr-25-2300,PMC13093465,P1,cross-tumor-methods,头颈鳞癌,单细胞;空间转录组;空间蛋白;Visium;CosMx;邻域;配体受体,优先积累空间共定位、细胞邻域、多模态整合和ICB应答相关表达。空间邻近或计算推断不能直接证明细胞通信机制；不作为NSCLC疗效证据。,,pending_official_verification,,candidate_abstract_screened_scope_extension,metadata_and_abstract_screened_not_fulltext_read,false,false,not_acquired_in_this_batch,issue year when available; exact online-first date not independently verified,pubmed_omics_query_2026-09-23,https://pubmed.ncbi.nlm.nih.gov/41837744/,https://doi.org/10.1158/1078-0432.ccr-25-2300,https://pmc.ncbi.nlm.nih.gov/articles/PMC13093465/,2026-09-23
2026,Clinical Cancer Research,Predictors of Immune Checkpoint Blockade Response in dMMR Colorectal Cancer Using an Integrated Immune-Enhanced Multiomics Platform.,41995725,10.1158/1078-0432.ccr-25-3711,PMC13185005,P1,cross-tumor-methods,dMMR结直肠癌,外显子组;转录组;MSI;TCR与BCR;HLA;免疫耗竭;Cox模型,适合抗原负荷与克隆性、免疫受体多样性、多组学关联和连续/分组变量表达。小样本探索性治疗队列不等于已验证预测标志物。,,pending_official_verification,,candidate_abstract_screened_scope_extension,metadata_and_abstract_screened_not_fulltext_read,false,false,not_acquired_in_this_batch,issue year when available; exact online-first date not independently verified,pubmed_omics_query_2026-09-23,https://pubmed.ncbi.nlm.nih.gov/41995725/,https://doi.org/10.1158/1078-0432.ccr-25-3711,https://pmc.ncbi.nlm.nih.gov/articles/PMC13185005/,2026-09-23
