pmid,year,title,journal,doi,official_category,secondary_domain_tags,evidence_tier,issue_year,first_online_date,pdf_version,pdf_filename,sha256,physical_pages,raw_extraction_tokens,main_read_completed_on,reading_stage,supplement_status,review_status,source_asset,main_visual_physical_pages
39804166,2025,Impact of Co-mutations and Transcriptional Signatures in Non-Small Cell Lung Cancer Patients Treated with Adagrasib in the KRYSTAL-1 Trial,Clinical Cancer Research,10.1158/1078-0432.ccr-24-2310,Precision Medicine and Imaging,genomics;co-mutation;STK11;KEAP1;NRF2;targeted-transcriptomics;CRISPR;targeted-therapy;survival,exploratory-clinical-biomarker-and-preclinical,2025,,publisher_main_pdf,Negrao_Impact_of_Co-mutations_and_Transcriptional_Signatures_in_Non-Small_Cell_Lung_Cancer_Patients_Tre_PMID39804166.pdf,238c89c029a713a161255a6c9bddc5f9fe03424ccbf92e6f1650239613795f03,13,11276,2026-09-20,main_text_deep_read_complete,not_supplied,not_reviewed,ccr-2025-genomics-2026-09-20-language.md,5;6;7;8;9
39932457,2025,"Characterization of Plasma Cell-Free DNA Variants as of Tumor or Clonal Hematopoiesis Origin in 16,812 Advanced Cancer Patients",Clinical Cancer Research,10.1158/1078-0432.ccr-24-3335,Precision Medicine and Imaging,genomics;liquid-biopsy;clonal-hematopoiesis;matched-normal;variant-attribution,retrospective-diagnostic-cohort,2025,,publisher_main_pdf,Magee_cfDNA_tumor_CH_origins_PMID39932457.pdf,673fef02fcf4f5915ab5d3ad250b0a6761df9788183d67fff76d28f2a605637b,9,7287,2026-09-20,main_text_deep_read_complete,not_supplied,not_reviewed,ccr-2025-genomics-2026-09-20-language.md,3;4;5;6;7
40704901,2025,Molecular Characterization of NUT Carcinoma: A Report from the NUT Carcinoma Registry,Clinical Cancer Research,10.1158/1078-0432.ccr-25-1071,Precision Medicine and Imaging,genomics;NUTM1-fusion;rare-thoracic-cancer;co-alterations;diagnostic-sensitivity,retrospective-registry-molecular-analysis,2025,,author_manuscript,Kim_NUT_carcinoma_molecular_registry_PMID40704901.pdf,3db22f4a9c560ee2b812ebdb6fd27d90d381012c26870125517dfa16287e4a3e,20,8008,2026-09-20,main_text_deep_read_complete,not_supplied,not_reviewed,ccr-2025-genomics-2026-09-20-language.md,15;17;19;20
40388547,2025,Concordance between Tumor Tissue and Plasma DNA Genotyping in the NCI-MATCH Trial (EAY131),Clinical Cancer Research,10.1158/1078-0432.ccr-24-3531,Precision Medicine and Imaging,genomics;liquid-biopsy;tissue-plasma-concordance;actionable-alterations;trial-selection,paired-specimen-exploratory-analysis,2025,,author_manuscript,Gouda_NCI_MATCH_tissue_plasma_concordance_PMID40388547.pdf,7e65c9ba1fa23e5a530c6200390493b9f54dd650e4181833d3b416572f53f1db,25,9298,2026-09-20,main_text_deep_read_complete,not_supplied,not_reviewed,ccr-2025-genomics-2026-09-20-language.md,16;17;19;20;21;22;23;24;25
39437011,2025,Metabolic Tumor Volume Assessed by 18F FDG-PET CT Scan as a Predictive Biomarker for Immune Checkpoint Blockers in Advanced NSCLC and Its Biological Correlates,Clinical Cancer Research,10.1158/1078-0432.ccr-24-1993,Precision Medicine and Imaging,imaging;immunotherapy;genomics;bulk-transcriptomics;targeted-proteomics;metagenomics;interaction-analysis,observational-treatment-comparison-and-correlates,2025,,publisher_main_pdf,DallOlio_Metabolic_tumor_volume_ICB_correlates_PMID39437011.pdf,f83aaeeaec6b37dc72abec6c96f08e5da7cdcc43b8b38368817906df87184865,13,10365,2026-09-20,main_text_deep_read_complete,not_supplied,not_reviewed,ccr-2025-genomics-2026-09-20-language.md,5;6;7;8;9;10
39887260,2025,Round-Robin Comparison of RET Rearrangement Detection in ctDNA: A Novel Method for Limited Clinical Samples,Clinical Cancer Research,10.1158/1078-0432.ccr-24-3747,Precision Medicine and Imaging,genomics;liquid-biopsy;RET-fusion;assay-concordance;analytical-sensitivity,positive-only-round-robin-assay-comparison,2025,,publisher_main_pdf,Paweletz_Round-Robin_Comparison_of_RET_Rearrangement_Detection_in_ctDNA_A_Novel_Method_for_Limited_Clin_PMID39887260.pdf,abacdebcfa699a6b1d8078b9fcdb4a5bdfd96e7924b959e49ea110a44177be3c,7,6313,2026-09-20,main_text_deep_read_complete,not_supplied,not_reviewed,ccr-2025-genomics-2026-09-20-language.md,3;4;5
40310449,2025,Liquid and Tissue Biopsies for Identifying MET Exon 14 Skipping NSCLC: Analyses from the Phase II VISION Study of Tepotinib,Clinical Cancer Research,10.1158/1078-0432.ccr-24-4097,Precision Medicine and Imaging,genomics;liquid-biopsy;MET-exon14;co-alterations;tumor-shedding;targeted-therapy,single-arm-trial-exploratory-descriptive-biomarker,2025,,publisher_main_pdf,Rolfo_Liquid_and_Tissue_Biopsies_for_Identifying_MET_Exon_14_Skipping_NSCLC_Analyses_from_the_Phase_II_PMID40310449.pdf,d2e88c490d060482bcc35655f828587fbb7bd0816a1bf939fb367d8bdfb885ef,10,8733,2026-09-20,main_text_deep_read_complete,not_supplied,not_reviewed,ccr-2025-genomics-2026-09-20-language.md,3;4;5;6;7;8
39853318,2025,Follow-up Analysis Enhances Understanding of Molecular Residual Disease in Localized Non-Small Cell Lung Cancer,Clinical Cancer Research,10.1158/1078-0432.ccr-24-2909,Precision Medicine and Imaging,liquid-biopsy;MRD;postoperative-NSCLC;landmark-analysis;propensity-matching;survival,updated-observational-longitudinal-cohort,2025,,publisher_main_pdf,Zhang_Follow-up_Analysis_Enhances_Understanding_of_Molecular_Residual_Disease_in_Localized_Non-Small_Ce_PMID39853318.pdf,3ce365040f2b48f5b03720e1d6f3dc1fcd786ad5da6d00681c0be66d064d506c,10,7792,2026-09-20,main_text_deep_read_complete,not_supplied,not_reviewed,ccr-2025-genomics-2026-09-20-language.md,3;4;5;6;7;8
40261185,2025,ctDNA Clearance as an Early Indicator of Improved Clinical Outcomes in Advanced NSCLC Treated with TKI: Findings from an Aggregate Analysis of Eight Clinical Trials,Clinical Cancer Research,10.1158/1078-0432.ccr-24-3612,Precision Medicine and Imaging,liquid-biopsy;ctDNA-clearance;TKI;landmark-analysis;internal-validation;survival,retrospective-pooled-patient-level-trial-analysis,2025,,publisher_main_pdf,Andrews_ctDNA_Clearance_as_an_Early_Indicator_of_Improved_Clinical_Outcomes_in_Advanced_NSCLC_Treated_w_PMID40261185.pdf,5f080a1392bfaf9703780440c4f5a296bcaa0e6aaccc191fb670fd7cdb702910,11,9278,2026-09-20,main_text_deep_read_complete,not_supplied,not_reviewed,ccr-2025-genomics-2026-09-20-language.md,4;5;6;7;8;9
40465842,2025,Elevated ctDNA Tumor Fraction Is Associated with Improved Mutation Detection but Worse Overall Survival in Advanced Non-Small Cell Lung Cancer: A Lung-MAP Study,Clinical Cancer Research,10.1158/1078-0432.ccr-24-3658,Translational Cancer Mechanisms and Therapy,genomics;STK11;liquid-biopsy;tumor-fraction;copy-number;concordance;survival,prospective-paired-assay-with-observational-survival,2025,,author_manuscript,Mack_Elevated_ctDNA_Tumor_Fraction_Is_Associated_with_Improved_Mutation_Detection_but_Worse_Overall_Sur_PMID40465842.pdf,a1139c78174c16d98f0e9f9cfe11d17f6cdd4c374b6e0f80d254763a8a68f9a3,25,8755,2026-09-20,main_text_deep_read_complete,not_supplied,not_reviewed,ccr-2025-genomics-2026-09-20-language.md,17;18;19;20;21;22;23;24;25
