pmid,year,title,journal,doi,official_category,secondary_domain_tags,disease_scope,source_role,evidence_tier,pdf_version,pdf_filename,sha256,physical_pages,main_read_completed_on,reading_stage,supplement_status,review_status,source_asset,main_visual_physical_pages
34140403,2021,"A Phase I Study of APX005M and Cabiralizumab with or without Nivolumab in Patients with Melanoma, Kidney Cancer, or Non-Small Cell Lung Cancer Resistant to Anti-PD-1/PD-L1",Clinical Cancer Research,10.1158/1078-0432.ccr-21-0903,Clinical Trials: Immunotherapy,immunotherapy;clinical-trial;macrophage;targeted-protein-assay;statistics,"melanoma;renal-cell carcinoma;NSCLC (one patient, no viable correlative tumor tissue)",mixed-tumor phase-I safety/pharmacodynamic reference; minimal lung clinical representation,nonrandomized-phase-I,author_manuscript,"Weiss_A_Phase_I_Study_of_APX005M_and_Cabiralizumab_with_or_without_Nivolumab_in_Patients_with_Melanoma,_PMID34140403.pdf",77e702b6dafabc6f3888e783d5402030f563a494a85cbdf965d05fee3a013eb0,22,2026-09-26,main_text_deep_read_complete,not_supplied,not_reviewed,ccr-2021-34140403-language.md,16;17;18;19;20;21;22
33323402,2021,Cross-Site Concordance Evaluation of Tumor DNA and RNA Sequencing Platforms for the CIMAC-CIDC Network,Clinical Cancer Research,10.1158/1078-0432.ccr-20-3251,Precision Medicine and Imaging,genomics;bulk-transcriptomics;bioinformatics;assay-concordance;statistics,squamous NSCLC;HapMap benchmark cell pools,lung-source analytical harmonization/methodology,analytical-validation,author_manuscript,Zeng_Cross-Site_Concordance_Evaluation_of_Tumor_DNA_and_RNA_Sequencing_Platforms_for_the_CIMAC-CIDC_Net_PMID33323402.pdf,70d69b23a80830901275f23af48090a9a6d64bb862d2a52328b1e4c3463ca55a,22,2026-09-26,main_text_deep_read_complete,not_supplied,not_reviewed,ccr-2021-33323402-language.md,17;18;19;20;21;22
34244291,2021,Immunotherapy-Mediated Thyroid Dysfunction: Genetic Risk and Impact on Outcomes with PD-1 Blockade in Non-Small Cell Lung Cancer,Clinical Cancer Research,10.1158/1078-0432.ccr-21-0921,Translational Cancer Mechanisms and Therapy,germline-genomics;bioinformatics;statistics;immunotherapy;safety,NSCLC;noncancer germline discovery and validation populations,lung clinical-genomic association and toxicity-risk validation,observational-clinical,author_manuscript,Luo_Immunotherapy-Mediated_Thyroid_Dysfunction_Genetic_Risk_and_Impact_on_Outcomes_with_PD-1_Blockade_i_PMID34244291.pdf,f8169883b1e12b22dbdc42628550c8172544b900b3067dc87331ead6c7239e16,22,2026-09-26,main_text_deep_read_complete,not_supplied,not_reviewed,ccr-2021-34244291-language.md,18;19;20;21;22
34261696,2021,Integrative Profiling of T790M-Negative EGFR-Mutated NSCLC Reveals Pervasive Lineage Transition and Therapeutic Opportunities,Clinical Cancer Research,10.1158/1078-0432.ccr-20-4607,Translational Cancer Mechanisms and Therapy,genomics;bulk-transcriptomics;bioinformatics;targeted-protein-assay;lineage-plasticity;statistics,EGFR-mutated metastatic NSCLC resistant to first/second-generation EGFR TKIs,lung-primary observational multi-omics resistance study,observational-multiomics,publisher_typeset_pdf,Chua_Integrative_Profiling_of_T790M-Negative_EGFR-Mutated_NSCLC_Reveals_Pervasive_Lineage_Transition_an_PMID34261696.pdf,d6858c6717e29e0f74e7c54fbc0f4e1b428c2f418634e807280fc0608f0a79ee,12,2026-09-26,main_text_deep_read_complete,not_supplied,not_reviewed,ccr-2021-34261696-language.md,5;7;8;9
34551906,2021,Outcome and Immune Correlates of a Phase II Trial of High-Dose Interleukin-2 and Stereotactic Ablative Radiotherapy for Metastatic Renal Cell Carcinoma,Clinical Cancer Research,10.1158/1078-0432.ccr-21-2083,Clinical Trials: Immunotherapy,genomics;bulk-transcriptomics;proteomics;TCR-sequencing;mass-cytometry;bioinformatics;immunotherapy;radiotherapy;statistics,metastatic clear-cell renal cell carcinoma,cross-tumor clinical/multi-omics methodology reference,clinical-correlative,author_manuscript,Hannan_Outcome_and_Immune_Correlates_of_a_Phase_II_Trial_of_High-Dose_Interleukin-2_and_Stereotactic_Ab_PMID34551906.pdf,5d906b20c575d6733a65651772fca6b873c65f4406d6ce6ab8174664b7a7ff87,25,2026-09-26,main_text_deep_read_complete,not_supplied,not_reviewed,ccr-2021-34551906-language.md,17;18;19;20;21;22;23;24;25
34426443,2021,"Phase I Study of 2- or 3-Week Dosing of Telisotuzumab Vedotin, an Antibody-Drug Conjugate Targeting c-Met, Monotherapy in Patients with Advanced Non-Small Cell Lung Carcinoma",Clinical Cancer Research,10.1158/1078-0432.ccr-21-0765,Clinical Trials: Targeted Therapy,targeted-therapy;ADC;IHC-biomarkers;pharmacokinetics;clinical-efficacy;safety;statistics,advanced c-Met-expressing NSCLC,lung phase-I ADC dose-finding clinical study,early-phase-clinical,publisher_typeset_pdf,"Camidge_Phase_I_Study_of_2-_or_3-Week_Dosing_of_Telisotuzumab_Vedotin,_an_Antibody-Drug_Conjugate_Targe_PMID34426443.pdf",9a5e55bdfe6dc91d30e34528e1b2e2b88703b920f0481f4d5a4cfdff945d0684,12,2026-09-26,main_text_deep_read_complete,not_supplied,not_reviewed,ccr-2021-34426443-language.md,4;5;6;8;9
34376534,2021,Pretreatment Tissue TCR Repertoire Evenness Is Associated with Complete Pathologic Response in Patients with NSCLC Receiving Neoadjuvant Chemoimmunotherapy,Clinical Cancer Research,10.1158/1078-0432.ccr-21-1200,Precision Medicine and Imaging,TCR-sequencing;targeted-transcriptomics;spatial-protein-imaging;bioinformatics;chemoimmunotherapy;pathologic-response;statistics,resectable stage-IIIA NSCLC,neoadjuvant clinical-correlative TCR biomarker discovery,clinical-correlative,publisher_typeset_pdf,Casarrubios_Pretreatment_Tissue_TCR_Repertoire_Evenness_Is_Associated_with_Complete_Pathologic_Response_PMID34376534.pdf,e4851b9538d89ff100b47ea59781fe17c46ad1a3ed9ffca0964672649aea1f45,13,2026-09-26,main_text_deep_read_complete,not_supplied,not_reviewed,ccr-2021-34376534-language.md,4;5;6;7;9;10
34301751,2021,RELAY Subgroup Analyses by EGFR Ex19del and Ex21L858R Mutations for Ramucirumab Plus Erlotinib in Metastatic Non-Small Cell Lung Cancer,Clinical Cancer Research,10.1158/1078-0432.ccr-21-0273,Clinical Trials: Targeted Therapy,genomics;ctDNA;comutations;targeted-therapy;antiangiogenic-therapy;clinical-efficacy;statistics,EGFR-mutated metastatic NSCLC without baseline CNS metastases,randomized-trial mutation subgroup and exploratory plasma-genomics analysis,clinical-subgroup,publisher_typeset_pdf,Nakagawa_RELAY_Subgroup_Analyses_by_EGFR_Ex19del_and_Ex21L858R_Mutations_for_Ramucirumab_Plus_Erlotinib_PMID34301751.pdf,b2fc82ca70e78b1e395ab198de76ed3702b79083a4a69fe1e6ba23fcd568ad54,14,2026-09-26,main_text_deep_read_complete,not_supplied,not_reviewed,ccr-2021-34301751-language.md,3;4;5;6;7;8;9;10
34518312,2021,Spatial Mapping and Immunomodulatory Role of the OX40/OX40L Pathway in Human Non-Small Cell Lung Cancer,Clinical Cancer Research,10.1158/1078-0432.ccr-21-0987,Precision Medicine and Imaging,spatial-protein-imaging;immune-microenvironment;clinical-prognosis;mRNA-delivery;experimental-assay;statistics,NSCLC;uterine/ovarian serous carcinoma;separate HNSCC/ovarian/prostate pharmacodynamic cases,lung spatial-pathology prognostic study with cross-tumor pharmacodynamic proof of concept,translational-mixed,author_manuscript,Porciuncula_Spatial_Mapping_and_Immunomodulatory_Role_of_the_OX40_OX40L_Pathway_in_Human_Non-Small_Cell_PMID34518312.pdf,43d639ceb8425804bc5b9455c300eb691729c0b9d5d7de9692b2a9b86a0fca5f,22,2026-09-26,main_text_deep_read_complete,not_supplied,not_reviewed,ccr-2021-34518312-language.md,13;14;15;16;17;18;19;20;21;22
34407972,2021,Upregulation of C/EBPα Inhibits Suppressive Activity of Myeloid Cells and Potentiates Antitumor Response in Mice and Patients with Cancer,Clinical Cancer Research,10.1158/1078-0432.ccr-21-0986,Translational Cancer Mechanisms and Therapy,targeted-transcriptomics;bulk-transcriptomics;proteomics;spatial-protein-imaging;bioinformatics;myeloid-immunology;preclinical;immunotherapy;statistics,human hepatocellular carcinoma;murine liver/lung/colon tumor models,cross-tumor clinical/preclinical myeloid-mechanism and omics methodology reference,translational-mixed,publisher_typeset_pdf,Hashimoto_Upregulation_of_C_EBPα_Inhibits_Suppressive_Activity_of_Myeloid_Cells_and_Potentiates_Antitum_PMID34407972.pdf,6911a4f9adf742f8abff7f9c1e14ddd235f7aeb3a40415b002ea183469231aaa,18,2026-09-26,main_text_deep_read_complete,not_supplied,not_reviewed,ccr-2021-34407972-language.md,6;7;8;9;10;11;12;13;14;15
