"pmid","year","title","journal","doi","official_category","secondary_domain_tags","evidence_tier","pdf_filename","sha256","physical_pages","raw_extraction_tokens","main_read_completed_on","reading_stage","supplement_status","review_status","source_asset"
"42113010","2026","A Noninvasive Circulating Tumor DNA Methylation Classifier to Identify Benign Pulmonary Nodules","Clinical Cancer Research","10.1158/1078-0432.ccr-25-4520","Novel Biomarkers and Precision Medicine","ctdna-methylation-pulmonary-nodule-classifier-machine-learning-diagnostic-statistics","diagnostic-validation-observational","Guo_A_Noninvasive_Circulating_Tumor_DNA_Methylation_Classifier_to_Identify_Benign_Pulmonary_Nodules_PMID42113010.pdf","9e04e45a09ce18a75d3101b49bbd59888cfa5cefaf3cf69cd0a3e2d547f06427","12","10488","2026-09-19","main_text_deep_read_complete","not_supplied","not_reviewed","ccr-2026-09-19-pending15-language.md#pmid-42113010"
"42658187","2026","A Phase 2 Basket Trial of Ado-Trastuzumab Emtansine for Patients with HER2 Amplified Cancers: A Non-Randomized Clinical Trial","Clinical Cancer Research","10.1158/1078-0432.ccr-26-1566","Research Article","her2-amplification-tdm1-basket-trial-adc-efficacy-safety","single-arm-basket-descriptive","Ross_A_Phase_2_Basket_Trial_of_Ado-Trastuzumab_Emtansine_for_Patients_with_HER2_Amplified_Cancers_A_Non_PMID42658187.pdf","f3724ccdfced8d9cf761a9fb2ecda5f76f40203e360e482dbf5c57ea063c3ba3","34","9182","2026-09-19","main_text_deep_read_complete","not_supplied","not_reviewed","ccr-2026-09-19-pending15-language.md#pmid-42658187"
"41945491","2026","ADC Target Profiling in NSCLC: Generalizable AI Separates TROP-2 and cMET Phenotypes","Clinical Cancer Research","10.1158/1078-0432.ccr-25-4513","Artificial Intelligence and Computational Oncology","computational-pathology-adc-ihc-spatial-immunophenotyping-ici-survival-agreement","analytical-validation-retrospective-associative","Anders_ADC_Target_Profiling_in_NSCLC_Generalizable_AI_Separates_TROP-2_and_cMET_Phenotypes_PMID41945491.pdf","f6638a46d70803e918682e787cb99026158c7664206ed5ebea986df899ab2101","22","18104","2026-09-19","main_text_deep_read_complete","not_supplied","not_reviewed","ccr-2026-09-19-pending15-language.md#pmid-41945491"
"41779007","2026","Association of Blood Levels of Forever Plastics with Lung Cancer Mortality among Ever Smokers in the Prostate, Lung, Colorectal, and Ovarian (PLCO) Cohort Study","Clinical Cancer Research","10.1158/1078-0432.ccr-25-3846","Novel Biomarkers and Precision Medicine","pfas-exposure-lung-cancer-mortality-metabolomics-epidemiology","observational-associative","Irajizad_Association_of_Blood_Levels_of_Forever_Plastics_with_Lung_Cancer_Mortality_among_Ever_Smokers_PMID41779007.pdf","abfd3ae200ba390a738ca9f2caa7f7104c606eb223e908657bcebfb0909f2378","19","6484","2026-09-19","main_text_deep_read_complete","not_supplied","not_reviewed","ccr-2026-09-19-pending15-language.md#pmid-41779007"
"42446521","2026","Clinical significance of EGFR amplification in patients with EGFR-mutated metastatic non-small cell lung cancer receiving first-line osimertinib","Clinical Cancer Research","10.1158/1078-0432.ccr-26-0924","Research Briefs: Precision Medicine and Therapeutics","egfr-amplification-allele-specific-copy-number-osimertinib-resistance-survival","retrospective-clinicogenomic-associative","Di_Federico_Clinical_significance_of_EGFR_amplification_in_patients_with_EGFR-mutated_metastatic_non-sm_PMID42446521.pdf","61d0a2e7c6cda3c9fa5a06eb144d83504a838a1df4733e9205c190a17e6eff84","39","9755","2026-09-19","main_text_deep_read_complete","not_supplied","not_reviewed","ccr-2026-09-19-pending15-language.md#pmid-42446521"
"41591979","2026","Epigenetic Instability-Based Metrics in Cell-Free DNA for Early Cancer Detection","Clinical Cancer Research","10.1158/1078-0432.ccr-25-3384","Novel Biomarkers and Precision Medicine","cfdna-methylation-epigenetic-instability-early-detection-machine-learning","diagnostic-exploratory-validation","Thursby_Epigenetic_Instability-Based_Metrics_in_Cell-Free_DNA_for_Early_Cancer_Detection_PMID41591979.pdf","960d70597757aec5fa91c6a290abc8d7eda2e90b1275dbf4c295cd6619345630","12","10611","2026-09-19","main_text_deep_read_complete","not_supplied","not_reviewed","ccr-2026-09-19-pending15-language.md#pmid-41591979"
"42578969","2026","ERK1/2 Inhibitor Ulixertinib in Pan-cancer Patients with BRAF Fusions or Non-V600E/K Mutations: Results from the NCI-MATCH ECOG-ACRIN Trial (EAY131) Subprotocol Z1L","Clinical Cancer Research","10.1158/1078-0432.ccr-24-0951","Research Article","erk-inhibitor-braf-basket-trial-null-efficacy-safety","single-arm-basket-descriptive","Subbiah_ERK1_2_Inhibitor_Ulixertinib_in_Pan-cancer_Patients_with_BRAF_Fusions_or_Non-V600E_K_Mutations_PMID42578969.pdf","dd9b429c0e7427258acefcafd9ab5dae4197d28961492de50f1b2c02927baff8","35","7123","2026-09-19","main_text_deep_read_complete","not_supplied","not_reviewed","ccr-2026-09-19-pending15-language.md#pmid-42578969"
"41790029","2026","Genomic Profiling of Epidermal Growth Factor Receptor Mutation-Positive Non-Small Cell Lung Cancer after Progression on First-line Osimertinib: Phase II ORCHARD Study","Clinical Cancer Research","10.1158/1078-0432.ccr-25-4540","Clinical Trials: Molecularly Targeted Therapy","osimertinib-resistance-tissue-plasma-genomics-clonality-concordance","observational-resistance-genomics","Yu_Genomic_Profiling_of_Epidermal_Growth_Factor_Receptor_Mutation-Positive_Non-Small_Cell_Lung_Cancer_a_PMID41790029.pdf","a2d0e5b81aff98db74418e096d51448714df3668bd578d01e4f14936579b88d5","11","9185","2026-09-19","main_text_deep_read_complete","not_supplied","not_reviewed","ccr-2026-09-19-pending15-language.md#pmid-41790029"
"41537704","2026","Landscape of Genomic Mechanisms of Resistance to Selective RET Inhibitors in RET-Altered Solid Tumors: Analysis of the RETgistry Global Consortium","Clinical Cancer Research","10.1158/1078-0432.ccr-25-4382","Translational Mechanisms and Therapy","ret-inhibitor-resistance-paired-biopsy-genomics-survival","retrospective-associative-resistance-genomics","Waliany_Landscape_of_Genomic_Mechanisms_of_Resistance_to_Selective_RET_Inhibitors_in_RET-Altered_Solid_PMID41537704.pdf","bfbfba3545e7b853aecf493f8b6d841c12e06e1862a78140a7f0624cfe5ba50f","26","9445","2026-09-19","main_text_deep_read_complete","not_supplied","not_reviewed","ccr-2026-09-19-pending15-language.md#pmid-41537704"
"42207168","2026","Mature Outcomes and Patterns of Failure in the Phase II FLARE-RT Trial of Biological Image-Guided and Risk-Adaptive Chemoradiation for Unresectable NSCLC","Clinical Cancer Research","10.1158/1078-0432.ccr-25-2626","Clinical Trials: Molecularly Targeted Therapy","adaptive-radiotherapy-imaging-immunotherapy-competing-risk-statistics","single-arm-exploratory-prognostic","Zeng_Mature_Outcomes_and_Patterns_of_Failure_in_the_Phase_II_FLARE-RT_Trial_of_Biological_Image-Guided_PMID42207168.pdf","a59711a38d6f57596977129879c2c41774b405a5a0b473b42114fb99d423cec5","21","7617","2026-09-19","main_text_deep_read_complete","not_supplied","not_reviewed","ccr-2026-09-19-pending15-language.md#pmid-42207168"
