id,year,journal,title,title_abbreviated,pmid,doi,priority,tags,relation,value,caution,source_url,correction_url,local_registration,local_reading_stage,local_review_status,stk11_highlight,checked_on,snapshot_date
"1","2015","Cancer Discovery","Co-occurring genomic alterations define major subsets of KRAS-mutant lung adenocarcinoma with distinct biology, immune profiles, and therapeutic vulnerabilities","no","26069186","10.1158/2159-8290.CD-14-1236","P1","共突变；分子分型；多组学","直接：KRAS/STK11亚型","用KL/KP/KC等分组连接基因组、表达、免疫特征和治疗脆弱性；适合总体论文架构。","KRAS突变人群内的分型，不可直接推广至全部STK11突变NSCLC。","https://pubmed.ncbi.nlm.nih.gov/26069186/","","registered","main_text_deep_read_complete","not_reviewed","yes","2026-09-19","2026-09-19"
"2","2018","Cancer Discovery","STK11/LKB1 Mutations and PD-1 Inhibitor Resistance in KRAS-Mutant Lung Adenocarcinoma","no","29773717","10.1158/2159-8290.CD-18-0099","P1","免疫治疗；临床结局；机制","直接：STK11突变","STK11与PD-1疗效研究的奠基文献；临床关联与模型实验衔接值得学习。","不能据此断言所有分期、所有方案中的STK11突变患者均不获益。","https://pubmed.ncbi.nlm.nih.gov/29773717/","","registered","main_text_deep_read_complete","not_reviewed","yes","2026-09-19","2026-09-19"
"3","2024","Nature","CTLA4 blockade abrogates KEAP1/STK11-related resistance to PD-(L)1 inhibitors","no","39385035","10.1038/s41586-024-07943-7","P1","共突变；双免疫治疗；转化机制","直接：STK11和/或KEAP1","将临床探索性分层与CRISPR/小鼠免疫机制连接，适合临床发现→机制→干预的叙事。","STK11和/或KEAP1不等于双突变；有2025作者更正，引用图1时使用当前版本。","https://pubmed.ncbi.nlm.nih.gov/39385035/","https://www.nature.com/articles/s41586-025-08767-9","registered","main_text_deep_read_complete","not_reviewed","yes","2026-09-19","2026-09-19"
"4","2022","Journal of Thoracic Oncology","Diminished Efficacy of Programmed Death-(Ligand)1 Inhibition in STK11- and KEAP1-Mutant Lung Adenocarcinoma Is Affected by KRAS Mutation Status","no","34740862","10.1016/j.jtho.2021.10.013","P1","临床分层；免疫治疗；共突变","直接：KRAS背景下STK11效应","展示STK11/KEAP1与ICI结局的关联受KRAS背景影响，适合亚组与混杂分析。","分层相关性不是治疗交互作用的自动证明。","https://pubmed.ncbi.nlm.nih.gov/34740862/","","candidate_only_not_in_checked_four_journal_bibliographies","not_assessed","not_assessed","no","2026-09-19","2026-09-19"
"5","2025","Clinical Cancer Research","Divergent Clinical and Immunologic Outcomes Based on STK11 Co-mutation Status in Resectable KRAS-Mutant Lung Cancers Following Neoadjuvant Immune Checkpoint Blockade","no","39545922","10.1158/1078-0432.CCR-24-2983","P1","新辅助免疫治疗；单细胞；TCR","直接：KRAS/STK11","适合将术后复发、T细胞状态和TCR分析串联；是已有库中与研究主题贴近的单细胞参考。","亚组样本较少；2024在线、2025卷期，不可与晚期治疗直接等同。","https://pubmed.ncbi.nlm.nih.gov/39545922/","","registered","main_text_deep_read_complete","not_reviewed","no","2026-09-19","2026-09-19"
"6","2019","Cancer Research","LKB1 and KEAP1/NRF2 Pathways Cooperatively Promote Metabolic Reprogramming with Enhanced Glutamine Dependence in KRAS-Mutant Lung Adenocarcinoma","no","31040157","10.1158/0008-5472.CAN-18-3527","P1","共突变；代谢；谷氨酰胺","直接：KRAS/LKB1/KEAP1","适合共突变功能协同、氧化还原稳态和代谢脆弱性的机制链。","谷氨酰胺酶抑制的模型证据不能当作已证实患者获益。","https://pubmed.ncbi.nlm.nih.gov/31040157/","","candidate_only_not_in_checked_four_journal_bibliographies","not_assessed","not_assessed","no","2026-09-19","2026-09-19"
"7","2026","Nature Genetics","Evolving patterns of co-mutations from tumor initiation to metastatic progression","no","42432246","10.1038/s41588-026-02661-4","P1","泛癌；共突变统计；转移","直接次级分析：KRAS–STK11","SelectSim及跨队列验证适合改进共现/互斥分析；KRAS–STK11与转移关联提供写作背景。","泛癌研究包含肺癌分析，不是STK11专属研究；关联不等于转移因果，效应量有限。","https://pubmed.ncbi.nlm.nih.gov/42432246/","","candidate_only_not_in_checked_four_journal_bibliographies","not_assessed","not_assessed","no","2026-09-19","2026-09-19"
"8","2025","Nature Medicine","Molecular determinants of sotorasib clinical efficacy in KRASG12C-mutated non-small-cell lung cancer","no","","10.1038/s41591-025-03732-5","P1","靶向治疗；DNA/RNA；ctDNA","直接次级分析：STK11/KEAP1","CodeBreaK 100/200整合基因组、转录状态与ctDNA，适合区分基因型和功能状态。","STK11关联在队列间不一致；CodeBreaK 200涉及两治疗臂的较差结局，不能简单写成sotorasib特异耐药。","https://www.nature.com/articles/s41591-025-03732-5","","candidate_only_not_in_checked_four_journal_bibliographies","not_assessed","not_assessed","no","2026-09-19","2026-09-19"
"9","2026","Nature","Biomarkers of nivolumab benefit in resectable non-small cell lung cancer","no","","10.1038/s41586-026-10925-6","P1","围手术期免疫；ctDNA/MRD；临床试验","直接探索性分析：STK11及共改变","CheckMate 77T将基因改变、ctDNA、病理缓解和EFS合并考察；重要的新近边界证据。","基因组分析为探索性且小亚组；四基因合并结果不是STK11单基因效应。","https://www.nature.com/articles/s41586-026-10925-6","","candidate_only_not_in_checked_four_journal_bibliographies","not_assessed","not_assessed","no","2026-09-19","2026-09-19"
"10","2023","Cancer Discovery","Comutations and KRASG12C Inhibitor Efficacy in Advanced NSCLC","no","37068173","10.1158/2159-8290.CD-22-1420","P1","靶向治疗；共突变；临床队列","直接：STK11与其他共改变","分离KEAP1/SMARCA4/CDKN2A等不良因素后解释STK11，适合协变量与联合基因型分组。","不伴特定不良共改变时，STK11未显示相同结局影响；不可将所有共改变归因于STK11。","https://pubmed.ncbi.nlm.nih.gov/37068173/","","candidate_only_not_in_checked_four_journal_bibliographies","not_assessed","not_assessed","no","2026-09-19","2026-09-19"
